"scenario","Year","ACCESS.ESM1.5","BCC.CSM2.MR","CanESM5","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","INM.CM5.0","IPSL.CM6A.LR","MIROC6","MPI.ESM1.2.HR","MRI.ESM2.0","UKESM1.0.LL","ensemble"
"historical",1850,20.9,20.1,23.5,21.7,NA,16.5,20.6,19,18.7,24.3,18.4,21.1,19.9,24.3
"historical",1851,20.9,19,20.8,19.9,18.6,16.6,23,19.4,20.4,24.6,20.1,20.8,18.2,24.6
"historical",1852,23.1,19.5,20.5,20.1,18.2,18.4,21.7,19,18.2,23.9,18.4,21.8,19.8,23.9
"historical",1853,22.5,23.7,21.4,19.8,19.4,17.4,20.6,19.8,19.5,24,18.5,20.6,20.1,24
"historical",1854,23.2,24,21.7,20.8,19.2,17.9,21.4,18.3,18.6,24.7,17.6,20.2,19.9,24.7
"historical",1855,22.6,21.1,20.7,19.5,18.1,18.8,20.6,20.4,18.4,24.1,18.9,20.9,19.4,24.1
"historical",1856,24.1,20.9,21.1,20.5,19,17.7,21,19.7,19.3,23.6,20.2,21.6,18.9,24.1
"historical",1857,24,20.8,21.3,19.9,19.6,17.7,21,20.1,18.6,24.2,19.5,22,20.7,24.2
"historical",1858,22.1,20.3,21.2,20.3,19.4,17.1,22.2,18.3,18.2,24.1,18.9,20.1,18.9,24.1
"historical",1859,21.8,20.9,21.4,19.3,19.4,17.2,23.2,19.1,19.2,24.2,19.1,21.5,19.9,24.2
"historical",1860,25.1,20.7,21,21.9,18.5,17.4,22.8,19.8,18.3,24.1,19.4,19.3,18.9,25.1
"historical",1861,22.4,20.4,21.9,19.8,18.4,17.2,21,18.4,19.1,24,19.2,20.5,19.9,24
"historical",1862,23,20.7,20.6,19.9,17.4,16.1,20,19.3,18.7,24.1,19.5,19,19.3,24.1
"historical",1863,21.4,20.3,21.3,20.9,19.9,17.8,21.6,18,19.6,23.7,18.7,21.3,20.2,23.7
"historical",1864,21.4,19.3,20.5,20.3,19.1,18.9,20.8,19,17.6,23.7,17.6,20.4,19.8,23.7
"historical",1865,22.3,24.1,21.6,19.7,19.8,15.9,22.1,19,18.2,23.5,18.6,20.7,18.8,24.1
"historical",1866,22.5,20.3,20.9,19.8,18.5,16.9,21.2,19.9,18.5,24,19.1,19.5,19.4,24
"historical",1867,22.1,23.5,21.5,19.9,18.1,17.3,21.9,18,19,23,19.2,22.4,19,23.5
"historical",1868,22.5,21.4,22.1,20.7,18.2,16.2,22.8,19.3,18.5,23.2,18.3,19.9,18.5,23.2
"historical",1869,21.5,18.6,21.1,20.9,19.9,17.1,20.9,19.4,18.5,24.2,19.8,20.9,19.1,24.2
"historical",1870,22.5,22.3,22.4,20,19,17.7,21.9,19.4,18.3,24.5,19.5,19.9,20.8,24.5
"historical",1871,22.7,22.2,21.6,19.3,20.4,16.7,21.7,18.7,17.8,24.6,18.8,20.4,18.9,24.6
"historical",1872,22.7,21.6,21.8,20.8,19.1,19.2,21.8,18.9,19.2,24.3,19.5,19.6,19,24.3
"historical",1873,21.7,22.2,20.2,20.3,18.4,18.4,22,18,19.7,23.6,18.4,19.7,18.3,23.6
"historical",1874,23.9,18.8,21.4,20.6,17.7,19.2,21.7,18.8,18.6,23.5,19.3,20.7,18.7,23.9
"historical",1875,22.3,18.2,21.3,19.4,19.1,18.2,22.5,20.4,21,23.8,19.5,20.5,19.2,23.8
"historical",1876,21.5,22.1,21.2,19.7,18.2,17.3,20.8,19.3,18.4,25.1,20,21.2,19.3,25.1
"historical",1877,22.2,21.1,21.7,20,18.4,17.5,21.5,19,19,24,20,22.4,20,24
"historical",1878,22,19.8,21.9,20,18.3,18.1,21.4,19.5,18.6,24.5,19.8,21.4,19.3,24.5
"historical",1879,23.3,17.8,21.7,19.8,17.7,17.5,22.5,19.2,19.6,23.9,19,20.1,18.9,23.9
"historical",1880,23.4,22.1,22.1,19.3,17.4,17.9,21.4,19.6,17.4,24,18.9,20.7,19.6,24
"historical",1881,22,21,21.4,19.7,18,16.9,20.2,19.2,18.6,23.1,20,20.9,19.1,23.1
"historical",1882,22.5,22,21.9,20,17.2,16.5,20.8,18.9,19.2,24.3,19.4,20.7,19.5,24.3
"historical",1883,23.1,21.6,21.5,18.5,18.8,16.6,20.3,18.5,19.1,25.3,19.1,19.3,19.6,25.3
"historical",1884,21.9,20.1,20.5,19.6,18.5,16,20.8,18.5,18,22.8,18.2,20,19.4,22.8
"historical",1885,23.1,22.3,20.9,20.7,18.5,16.3,20.9,17.7,17.5,23.8,19.4,20.8,18.7,23.8
"historical",1886,21.8,20.7,21.4,19.9,18.2,16.9,20.3,19.4,18.6,24.4,18.5,19.8,18,24.4
"historical",1887,22.8,17.8,20.5,20.5,17.7,17.1,21.4,19.4,18.8,24.1,19.1,19.8,17.5,24.1
"historical",1888,22.1,18.7,20.9,20.3,18.9,17.5,21.9,18.3,17.6,24.1,20.2,21.5,19.4,24.1
"historical",1889,21.8,25.1,21.4,20.7,19,17.9,21.6,19,18.3,23.8,19.1,20.9,19.5,25.1
"historical",1890,21.7,23.3,21.2,19.4,18,17.5,20.3,19.6,18.3,23.2,19.9,19.7,18.7,23.3
"historical",1891,22,20.5,22.3,19.1,17.7,16.1,20.6,18.3,18.4,23.6,18.9,20.4,17.7,23.6
"historical",1892,23.4,22.6,21.8,19.8,19.7,17.1,22.5,19.3,18.3,23.4,18.9,20.5,20.3,23.4
"historical",1893,21.2,19.2,20.8,20.3,21.2,15.8,20.9,19.1,18.1,22.9,20.2,20.2,20.9,22.9
