"scenario","Year","ACCESS.ESM1.5","BCC.CSM2.MR","CanESM5","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","INM.CM5.0","IPSL.CM6A.LR","MIROC6","MPI.ESM1.2.HR","MRI.ESM2.0","UKESM1.0.LL","ensemble"
"historical",1850,192.9,177.4,153.6,162.4,NA,178.1,182.3,171.5,190,172.7,184.9,184.4,143.5,192.9
"historical",1851,178.3,150.4,158.4,177.3,155.6,171.6,179,173.1,193.4,176.8,178.4,183,140.6,193.4
"historical",1852,186.8,173.1,159.3,173.4,161,170.8,179.6,168.8,196,171.5,170.8,191.5,150.7,196
"historical",1853,175.8,180.6,166.1,171.2,169,172.9,193.6,169.1,193,167.6,171,185.4,159.8,193.6
"historical",1854,182,182.2,168.8,177.9,160.5,184.4,202,169.5,187.6,178.8,171.3,179.9,150.5,202
"historical",1855,171.2,166.5,155,171.9,156.4,159.9,175.2,169.7,190,172.9,167.7,203.7,151.8,203.7
"historical",1856,186.3,176.5,162.4,174.2,161.9,164.8,189.2,176.5,189.8,179.4,177,189.2,151.1,189.8
"historical",1857,173.4,170.3,157.1,171.3,159.8,175.7,191.5,170,196.2,179.5,174.2,185.7,161.1,196.2
"historical",1858,177.2,166.5,159.3,170.2,159.2,177.3,177.9,186,197.2,189.3,177.1,191.4,146.9,197.2
"historical",1859,184.6,173.8,158.2,168.3,160.9,179,182.3,176.3,198.9,181.1,193.8,190.5,151.7,198.9
"historical",1860,183.7,167.1,179.5,177.6,164.7,174,201,160,186.9,175.5,177.7,198,148.5,201
"historical",1861,173.8,180.4,162.4,178,177.2,174.7,183.5,172.4,190.3,181.1,173.8,182.8,141.4,190.3
"historical",1862,192,172.7,155.9,167.2,183.5,167.5,181.2,170.6,196.5,182.4,178.5,185.7,158.5,196.5
"historical",1863,177.8,160.6,150.8,170.9,167.5,179.9,182.9,166,182.4,188.7,169.3,191.4,145.7,191.4
"historical",1864,175.2,176.7,151.9,174.4,173.9,173.6,175.2,176.6,196.5,169.7,169.1,178.1,150.5,196.5
"historical",1865,188.6,190.5,156.3,171.3,169.5,176.5,211.9,175.9,205.5,173.5,178,188.4,153.5,211.9
"historical",1866,180.1,190,173.6,166.2,155.5,164.8,201.5,174.1,185.5,168.9,189.3,196.6,156.6,201.5
"historical",1867,189.8,161.4,179.3,191.2,162.1,179.3,182.3,173,198.4,177.2,169,179.2,146.8,198.4
"historical",1868,184.7,162.6,156.4,172.4,159.7,181.7,175.9,188.4,192.4,166.1,175.8,178.2,142.1,192.4
"historical",1869,176.4,156.5,161,166.2,161.2,170.1,190.7,168.3,193.5,171.1,168.6,186,155,193.5
"historical",1870,173,170.8,162.1,173.2,154.1,170.2,182.6,184,193.7,183.3,176.6,202.3,151.9,202.3
"historical",1871,178.8,179.4,164.6,178.2,153.3,195.4,208.7,175.5,192.7,172.7,174.5,191.6,157.9,208.7
"historical",1872,179.1,170.6,155.3,177.1,145,171.2,194.3,184.2,186.3,167,169.7,186.1,140.1,194.3
"historical",1873,180.3,179.2,155.6,171.3,156.8,176.8,193.8,178.3,193.9,184.3,165.6,192.3,156.9,193.9
"historical",1874,175.3,195.3,151.4,174.5,176.6,164,183.2,180.8,176.8,176,179.6,204.6,148.9,204.6
"historical",1875,177.9,182.4,159.5,174,162.1,172.6,178.6,167.1,185.8,171.9,180.8,200.5,148.9,200.5
"historical",1876,179.8,173.5,163.4,164,174.4,169.4,175.9,186.3,186.3,181.3,173.1,176,142.1,186.3
"historical",1877,181.1,173.4,168,165,162.6,178.9,181.8,183.6,201.3,181.7,171.6,177.6,154.1,201.3
"historical",1878,181.5,165.6,167.2,168.8,160.7,174,193.4,179.2,182.1,186.5,177.3,189.6,150.5,193.4
