"scenario","Year","ACCESS.ESM1.5","BCC.CSM2.MR","CanESM5","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","INM.CM5.0","IPSL.CM6A.LR","MIROC6","MPI.ESM1.2.HR","MRI.ESM2.0","UKESM1.0.LL","ensemble"
"historical",1850,373.4,354,304.1,264.3,NA,308.3,318,157,576.8,327.7,258.5,356,281,576.8
"historical",1851,460.4,479.8,395.5,302.9,164.3,415.3,301.6,114.9,382.9,328.6,307.6,321.2,270.7,479.8
"historical",1852,301.2,154.4,422.6,334.3,217.8,200.3,305.2,161.9,426.8,403.4,256.5,365.9,305,426.8
"historical",1853,424.8,247.8,344.3,331.9,218.7,351.3,228.9,150.1,460.3,361.3,306.3,280.3,298.1,460.3
"historical",1854,342.7,309,369.8,330.5,259.4,326.6,262.1,120.5,470,323.3,245.9,279.4,277.5,470
"historical",1855,360.8,487.8,365,365.6,268.6,412.4,259.9,159.1,449.8,302,237.7,289.7,312.7,487.8
"historical",1856,285.5,235.6,608.3,329.4,235.1,460.2,268.9,153,471.4,417.6,218.7,313,230.9,608.3
"historical",1857,418,326.3,406.1,316.2,250.3,428.9,219.8,150.8,523.3,289.7,286.2,272.2,262.4,523.3
"historical",1858,359.3,532,480.2,250,282.2,348.4,369.1,130.5,555.3,444,278.7,336.3,258.9,555.3
"historical",1859,268.1,272.3,497.5,350.2,233.8,185.7,298.5,131.7,441.5,438.9,247.3,342.2,278.5,497.5
"historical",1860,332.5,238.3,429.5,297.5,208.4,314.8,323.3,125.5,453.9,333.5,236.4,288.4,248.4,453.9
"historical",1861,386.5,222.6,362.2,259,224.3,406.7,317.2,121.6,487.6,284.6,223.6,346.4,259.3,487.6
"historical",1862,405.6,419,380.4,330.4,213.1,451.2,348.9,141.1,479.8,252.9,250.8,314.6,272.6,479.8
"historical",1863,329.9,299.8,503.9,363.5,163.8,350.5,297.5,119.7,427,334.4,273,420.2,257.7,503.9
"historical",1864,245.1,301.9,337,332.6,238.1,415,268.1,140.4,474.2,302.2,226.7,311.1,269.6,474.2
"historical",1865,319.5,309,374.2,328.5,276.6,298,328.4,137.5,418.7,340.5,257.8,324.2,306.2,418.7
"historical",1866,344,295.3,342.4,323.6,186.3,274.5,282.5,119.7,450.6,335.6,252.6,431.9,253.8,450.6
"historical",1867,353.5,273.8,441.9,366.9,221.4,461.5,319.2,170.8,391.2,289.5,280.5,390,290.5,461.5
"historical",1868,438.1,238.2,382.3,328,214.7,349.1,272.2,162.1,473.1,255.6,271.4,377.6,277,473.1
"historical",1869,496.2,205.3,358.3,304.3,205.6,321.3,297.1,137.4,424.9,321.3,287.6,298.1,328.6,496.2
"historical",1870,397.2,278.2,510.3,315.3,212.9,398.8,296.4,138.2,462.5,268.7,285,313,327.6,510.3
"historical",1871,336,444.5,386.9,297.2,203.3,280,374.1,117.1,397.7,376.9,293.2,403.3,262.3,444.5
"historical",1872,516.5,327.2,317.8,323.3,258.3,321.1,276.5,171.2,406.8,424.9,273.5,425.2,320.6,516.5
"historical",1873,327.5,195.9,445.8,333.1,250.8,266.3,281.7,165.2,464.1,311.1,253.7,279,288.3,464.1
"historical",1874,407.4,240.7,431.2,299.9,260.2,261.4,258,115.4,362,355.8,225.8,286.5,284.1,431.2
"historical",1875,314.5,305.2,402.9,327.2,305.3,326.7,318.1,100.8,460.1,360.5,272.3,310.8,233.2,460.1
"historical",1876,275.8,265.6,381.5,320.5,238,321.5,290.8,194.6,379.2,366.3,264,329.1,269.4,381.5
"historical",1877,432,196.4,474.4,331.8,222.2,332.6,277.7,154.9,417.8,370.7,230.5,340,265.8,474.4
"historical",1878,394.3,327.9,450.7,335.4,178.2,249.1,315.3,141.2,402.7,310.2,304.4,296.5,336.8,450.7
"historical",1879,271.8,336,331.6,351,222.4,203.2,264.8,137.3,432.2,301.4,228.9,343.4,315.8,432.2
"historical",1880,371.7,229.4,348.5,353.3,209.9,238.6,308.4,161.5,397.1,361,244.3,331.4,265.1,397.1
"historical",1881,464.1,256.4,338.8,285.6,238.8,348,268.5,134.5,334.8,328.2,241.6,293.4,269.2,464.1
"historical",1882,300.1,222.6,489.5,267.9,280,298.1,276.1,150.8,520.8,350.9,242.1,307.3,285.8,520.8
"historical",1883,377.8,259,401.8,271,229.7,317.9,236.7,133.4,372.9,284.5,291.3,277.4,258.4,401.8
"historical",1884,336.5,177.7,323.2,335.3,243.2,357,340.6,150.7,453.5,243.6,253.8,321,281.8,453.5
"historical",1885,304.8,278.1,397.4,287.5,222.7,482.2,289.1,170,391.3,313.1,241.9,302.3,311,482.2
"historical",1886,268.7,235.1,342,280.2,231.2,408.2,185.3,137,531,377.1,277.5,281.6,293.9,531
"historical",1887,316,177.2,357.8,326.7,309.5,337.9,260.3,161,492.1,320.3,293.6,344.8,253.5,492.1
"historical",1888,376.8,684.9,403.7,318.3,203,336.3,274,122.1,478,320.7,243.8,251.3,270.6,684.9
"historical",1889,270.1,214.3,415.3,410.3,267.1,352.4,243,110,397,305.1,270.8,313.7,290.6,415.3
"historical",1890,485.4,251.3,317.8,320.4,234.1,545.7,282.2,121.6,532.7,314.2,261.4,348.8,328.7,545.7
"historical",1891,333.8,143.7,338.7,324.3,247.5,435.5,304.4,93.6,521.2,401.3,301.3,317.5,252.9,521.2
"historical",1892,342,340.2,365.2,298.2,278,251.2,390.3,135.5,454.8,319.9,241.2,274.1,285,454.8
"historical",1893,487,214.6,365.2,295.5,300.7,327.1,261.2,133.3,491.3,293.5,259.9,355.3,324.6,491.3
"historical",1894,382.5,344.5,366.8,357.5,274.9,290.9,336.1,196.7,386.6,255.1,235.8,285.7,271.2,386.6
"historical",1895,203.6,304.4,376.5,324.1,237.1,303,284,130.3,396.5,282.2,275.4,267.1,312.8,396.5
"historical",1896,356.5,230.3,447.4,325,242.9,444.8,321,190.7,465.2,266.2,251.2,325.5,279.9,465.2
"historical",1897,349.7,358.9,406.4,293.5,253.7,364.1,294.2,148.7,442.7,336.8,242.7,380.9,281.1,442.7
"historical",1898,355.6,317.4,390.7,395.6,242.8,259.4,336.7,134.8,468.7,409.9,242.8,305.5,245.2,468.7
"historical",1899,294.1,245.5,332.2,320.1,256.5,260.8,321,108.9,472.6,378,277.3,307,381.1,472.6
"historical",1900,312.7,249.8,405.8,299.1,200.9,355.5,354.7,121.7,489.7,300.5,262,344,364.1,489.7
"historical",1901,436.4,169,462.3,303.8,276.4,368.1,406.7,113,407.4,244.1,249.6,299.2,250.2,462.3
"historical",1902,355.6,323.4,370.2,268.7,242.6,291.7,333.2,115.3,411.5,226.5,219.6,266.3,251.3,411.5
"historical",1903,495,195,465.5,329.6,251.7,224.4,341.8,132.6,356,230.4,254.2,294,261.3,495
"historical",1904,263.5,263.7,359,349.1,236.4,220.5,289.7,114.9,430.4,326.4,249.3,287,267.1,430.4
"historical",1905,269.3,385,404.5,300,206.4,390.4,319.8,104.7,396.9,345.1,285.9,300.9,299.4,404.5
"historical",1906,350.2,270,363.8,332,238.6,352.8,388.7,114.4,383.8,291.6,233,301.5,314.8,388.7
"historical",1907,353,262.1,371.7,345.8,189.3,421.5,301.9,129.7,503.8,386.8,266.5,322.2,280.4,503.8
"historical",1908,397.3,400.1,385,333.1,239.6,385,288.5,150.8,488.2,371.4,230.7,393.6,295.3,488.2
"historical",1909,539.2,290.7,335.5,328.5,218.8,308.7,263.6,108.5,452.2,357.6,262.7,309.4,290.1,539.2
"historical",1910,301,528.3,342.7,306.3,218.1,285.6,310.8,126,438,274.7,301,279.8,271.7,528.3
"historical",1911,241.8,192,377.6,282.5,211.5,300.5,270.4,148.1,361.6,312.4,224.8,351.1,273.1,377.6
"historical",1912,339.9,306.6,407.7,387.1,286.3,340.7,280.7,140.4,466.7,326.8,262.3,264.2,323.1,466.7
"historical",1913,445.8,255.4,401.7,323.1,192.4,403.8,264,117.2,439.3,289.5,282,325.6,297.6,445.8
"historical",1914,401.9,334.6,411.2,326.4,254.7,350.8,266.6,118.6,428.5,318.7,235.5,334,256.6,428.5
"historical",1915,390.4,296.1,369.1,272.9,264.9,232.8,321.5,128.9,435.4,343.8,249.1,350.4,247.8,435.4
"historical",1916,262.1,199.9,451.3,283.5,190.9,282.7,331.1,119.7,424.3,297.4,253.1,454,285.5,454
"historical",1917,403.8,350,414.8,252.3,184.4,313.6,263.7,138.7,399.3,357.3,231.6,394.8,275.3,414.8
"historical",1918,403.3,277.7,491.3,373.4,252.9,394.7,416.2,165.5,543.4,528.7,237.3,303.7,252.9,543.4
