"scenario","Year","ACCESS.ESM1.5","BCC.CSM2.MR","CanESM5","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","INM.CM5.0","IPSL.CM6A.LR","MIROC6","MPI.ESM1.2.HR","MRI.ESM2.0","UKESM1.0.LL","ensemble"
"historical",1850,19.5,18.5,18.8,19.7,NA,16.2,18.9,20,16.9,21.4,17.9,16.9,19.8,18.7
"historical",1851,19.4,17.2,18.3,20.7,19.1,15.8,19.7,20,16.1,21.1,18.4,16.5,20,18.6
"historical",1852,19.1,18.6,18.8,19.3,19.1,15.9,18.3,20.3,16.6,21.3,18.3,17.4,19.2,18.6
"historical",1853,19.2,18.6,18.7,20.2,18.9,16,19.1,19.3,17,21.6,17.2,17.4,19,18.6
"historical",1854,19.8,17.6,18.6,18.9,18.2,17.3,19.8,19.4,16.7,20.9,17.4,17.1,20.2,18.6
"historical",1855,19.5,17.7,18.7,20.6,18.3,16.8,19.8,19.2,16.2,21.2,17.6,16.7,19.7,18.6
"historical",1856,18.9,18.5,18.8,18.9,18.4,15.4,18.6,18.9,16.6,21.9,17.8,17.4,20.4,18.5
"historical",1857,18.9,18.9,18.8,20.9,18.8,16.1,18.8,18.9,16.5,21.5,18,17.5,20.2,18.8
"historical",1858,18.6,19.1,18.8,20.1,17.7,16.2,18.6,18.8,16.9,21.2,17.6,17.2,19.2,18.5
"historical",1859,18.8,17.8,18.6,20.7,18.5,15.8,19.4,18.4,16.1,21.3,18.5,16.7,19.2,18.4
"historical",1860,19,18.1,18.6,20.9,18.8,15.6,18.6,18.5,16,21.4,18.7,17,20.2,18.6
"historical",1861,19.8,18.4,18.9,20.1,18.8,16.9,19.3,18.4,17,21.6,17.9,17.8,19.6,18.8
"historical",1862,20,19.4,18.9,19.7,17.2,16.6,19.4,18.8,16.8,21.1,17,17.5,19.2,18.6
"historical",1863,19.5,18.4,18.9,20.5,18.9,16.7,18.7,18.1,15.6,21.4,17.6,17.1,19.7,18.5
"historical",1864,19.4,17.3,18.5,19.2,18,16.7,19.2,19.6,17.1,21.9,17.8,17.8,19.8,18.6
"historical",1865,19.3,18.4,18.5,19.8,18,16.8,19.3,19.5,17,21.2,17.3,17.8,19.9,18.7
"historical",1866,19.1,18.8,18.9,19.8,18.6,15.7,19,19.3,16.6,21,16.5,18,20,18.6
"historical",1867,19.7,17,19.1,19.9,18.4,17.4,19.2,19.2,16.7,21.5,17.6,17.2,19.9,18.7
"historical",1868,19,18.5,19.2,19.6,18.4,17.1,18.4,18.7,16.6,21.1,17.7,16.8,19.4,18.5
"historical",1869,19.5,18.8,19.2,19.9,18.2,16.3,18,18.9,16.7,21.4,18.4,17.7,20,18.7
"historical",1870,19.7,18.8,19.2,19.5,18.3,15.6,18.1,18.6,16.3,21.4,16.8,16.1,19.9,18.3
"historical",1871,19.4,16.5,18.9,19.6,18.3,17.1,18.1,19.1,16.5,21.4,17.5,17.6,20,18.5
"historical",1872,18.4,19.2,19,20.3,19.1,17.1,19.6,18.8,16.7,21.1,17.7,18.2,19.1,18.8
"historical",1873,19.9,17.2,18.9,19,18.1,16.8,18.1,18.8,16.7,20.8,18.2,17.2,19,18.4
"historical",1874,19.2,17.2,19.3,20.5,19.2,15.9,19.2,19.3,17.2,21.3,18.1,18,19.7,18.8
"historical",1875,19.5,17.7,19.6,20.1,17.7,16.2,18.9,18.7,16.6,21.8,18.4,17.9,19.8,18.7
"historical",1876,19,18.2,18.8,20.1,17.8,16.5,18.4,19.6,16.5,21.9,17.6,17.7,20,18.6
"historical",1877,19.6,18.7,18.3,19.5,18,16.9,18.8,19.3,17.3,21,18.3,16.9,20.3,18.7
"historical",1878,20.2,19.5,18.8,20,18.5,16.4,18.6,19.2,16.3,20.7,18.1,17.6,20.6,18.8
"historical",1879,19.1,19.4,19.2,18.9,17.7,15.9,18.8,17.8,16.3,20.5,17.5,17.8,19.9,18.4
"historical",1880,19.3,16.9,18.7,19.1,18.1,16.9,18.4,19.1,16.4,21.4,17.7,17.2,20,18.4
"historical",1881,19.1,18.5,18.6,19.7,18.3,16.5,19,19.8,16.1,21.6,17.5,18,19.4,18.6
"historical",1882,19.3,18.7,18.6,19.5,19,17.2,17.4,19.8,16.9,21.6,17.1,17.9,20,18.7
