"scenario","Year","ACCESS.ESM1.5","BCC.CSM2.MR","CanESM5","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","INM.CM5.0","IPSL.CM6A.LR","MIROC6","MPI.ESM1.2.HR","MRI.ESM2.0","UKESM1.0.LL","ensemble"
"historical",1850,406.2,297.8,401.8,386.8,NA,405.3,329.9,375.3,412.6,357.2,381.7,423.6,369.4,379
"historical",1851,384.5,281.8,411,391.3,339.1,406.6,324.5,374.6,419.9,355.1,369,395.6,354.7,369.8
"historical",1852,396.8,291.8,426.6,346.2,333.3,374.3,325.6,355.8,416.5,344.4,378.2,403.5,385.7,367.6
"historical",1853,371,258.7,404.2,347.6,320,409.4,311.6,362.7,399.8,350.8,405.7,406.6,380.6,363.7
"historical",1854,393.9,265,385.7,356.2,344.3,400.8,327.9,338.3,407.4,356.4,390.5,406.5,381.7,365.7
"historical",1855,403.5,268.1,407.6,378.2,355.3,399.1,309,338.8,401.5,347,391.3,398.3,373.3,367
"historical",1856,376,279.4,404.4,382,337.8,389.8,320.8,334.5,406.2,357.4,392.3,402.8,375.4,366.1
"historical",1857,403.3,274.9,378.1,368.8,344.2,394.2,348.1,331.3,419,345.4,379.6,395.6,371.6,365.7
"historical",1858,382,302.9,411.2,338.6,347.6,398.9,352.4,356.8,416.3,362,380.5,417.5,365.2,371.7
"historical",1859,419.1,294.7,396.7,384.6,329.1,417.3,302.5,346.6,413.7,346.4,365.8,405.7,376.9,369.2
"historical",1860,413.7,286.4,424,373.5,334.5,416.8,310.8,375.1,408.3,344.7,381,405.2,372.3,372.8
"historical",1861,410.8,283.6,402.4,362.4,342.3,419,336.9,366.3,405.5,367.4,378.9,386.1,358.8,370.8
"historical",1862,399.9,245.4,377.6,374.7,334.5,409.1,364.4,351.7,404,357.7,407.6,386.9,359.3,367.1
"historical",1863,392.8,283.9,399.2,372.5,340.7,375.6,333.7,350.6,414.3,359.4,382.9,406.5,370,367.9
"historical",1864,385.6,272,412.5,379.8,337.8,390.5,345.5,366.5,411.2,362.8,374.2,396,379.3,370.3
"historical",1865,385.6,247,423.6,375.5,340.9,418.8,317.1,361.2,420.5,363.9,380.8,410.3,368.5,370.3
"historical",1866,428.1,306.5,404.8,339.5,322.4,395.2,323.1,334.1,426.1,366.6,390.1,396.7,390.9,371.1
"historical",1867,401.4,292.6,404.8,394.6,341.3,385.9,343.9,353.7,404.9,352.7,379,393.6,359.3,369.8
"historical",1868,377.6,296.6,398.6,372.9,341.2,372.1,333.5,355.5,409.3,367.8,361.2,393.5,380.5,366.2
"historical",1869,388.4,293,406.6,336.9,343.7,393.7,350.1,371.6,426,360.9,355.4,403.4,358.9,368.4
"historical",1870,380,279.1,382.7,377.4,319.4,407.1,329.2,359.9,416.5,357.6,365.1,387.2,363.8,363.5
"historical",1871,399,271.5,394.6,378.3,333.3,403.5,315.6,351.7,399.1,359.5,392.9,413.6,363.7,367.4
"historical",1872,401.3,286,410.8,394.5,343.8,404.4,337,350.4,399.5,356.3,354.5,385.8,354.6,367.6
"historical",1873,403.5,279.1,389.1,377.5,341.9,412.8,343,359.4,421.4,360.8,373.8,382.3,382.1,371.3
"historical",1874,387.4,246.7,389.7,385,312,407.9,309.7,354.4,410.4,363.6,379.4,411.7,365.5,363.3
"historical",1875,356.5,283,381.9,387,346.3,427.8,328.4,381.6,417.1,355,360.2,392.2,365.8,367.9
"historical",1876,378,299.3,400.4,383.9,347.6,390.8,353,358.4,415.6,354.3,389.3,395.3,368.6,371.9
"historical",1877,395.9,265.2,393.9,377.8,339.8,385.5,324.2,364.7,409.7,389,386.8,412.9,354.6,369.2
"historical",1878,404.2,282.8,402.4,385.6,320.9,383.6,305,368.3,388.3,365.2,378.9,391.2,371.5,365.2
"historical",1879,384.9,278.3,377.7,377.4,320,369.2,346.3,376.8,411.7,370.8,393.3,392.8,363.2,366.3
"historical",1880,398.9,259.6,384.2,397.3,341.5,371.7,319.4,351,398.8,361.4,365.3,389.4,362.2,361.6
"historical",1881,412.1,246.1,390.7,369.6,360.3,405.1,343.2,340.4,421.5,356.6,367,404.7,367.6,368.1
"historical",1882,392.9,270.4,377.7,366.7,349.6,402,341.3,364.4,403.5,357.4,372.1,391.9,367.9,366
"historical",1883,372.2,270.4,382.4,384.3,358.7,399.7,332.6,360.5,393.1,356.9,363.4,398.1,351.1,363.3
"historical",1884,400.6,281,369.3,371.6,343.2,395.1,323.3,321.6,407.9,360.5,365.2,358.8,373.4,359.3
"historical",1885,397.8,258,391,379.4,339.7,396.5,337.8,374.8,390.1,350.2,380.4,373.3,386.6,365.8
"historical",1886,419.1,270.5,384.1,374,321.3,386.7,324.4,350.8,397.3,343,372.7,385.5,337.2,359
"historical",1887,388,282.8,386.6,372.8,303.7,392.3,317,349.5,412.5,356.9,366.4,389.9,376,361.1
"historical",1888,394.1,257.8,401.3,363.9,311.4,359.4,308.2,344.5,412,368.9,365.1,405.2,377.9,359.2
"historical",1889,409.4,271.3,396.4,366.8,323.1,417.8,309.3,331.2,398.7,355.8,380.3,388.2,383.6,364
