"scenario","Year","ACCESS.ESM1.5","BCC.CSM2.MR","CanESM5","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","INM.CM5.0","IPSL.CM6A.LR","MIROC6","MPI.ESM1.2.HR","MRI.ESM2.0","UKESM1.0.LL","ensemble"
"historical",1850,52.9,25.5,33.9,19.1,NA,44.8,31.8,43.6,45.9,36.8,48.8,45.9,55.5,19.1
"historical",1851,37.5,48.2,21.9,23.6,38.6,95.3,34.6,37.1,58.1,70.7,16.5,51.4,33.3,16.5
"historical",1852,30.6,69.6,20,21.2,32.4,74.5,51,26.8,63,74.6,34.5,52.3,37.4,20
"historical",1853,31.4,11.7,38.3,24.5,58.8,59.1,52.5,43,50.5,42.6,19.9,11.4,23.8,11.4
"historical",1854,45.5,47.4,31,31.4,33.4,54.2,51.5,48.7,52.4,53.6,13.3,52.5,19.1,13.3
"historical",1855,16.3,49.5,24.3,10.6,55,39,51.8,28.9,57.5,56.1,40,40,35.3,10.6
"historical",1856,33.4,26.4,36.9,37.2,50.8,38.8,22.9,53.9,37.5,64,37.2,40.5,35.2,22.9
"historical",1857,46.2,35.5,43.6,16.1,38.2,40,65.5,41.4,23.7,63.9,39.3,40.5,29.3,16.1
"historical",1858,59.3,31.7,22.7,16.4,59.9,54.4,29.2,53.1,34.2,65.8,19,42.1,48.7,16.4
"historical",1859,68.3,65.2,21.9,15.2,54.9,43.5,50,49.6,31.6,38.9,18.3,46.9,27,15.2
"historical",1860,35.9,41.3,27.1,34.3,61.3,43.2,54.2,59,54.8,37.8,38.2,41.5,38.4,27.1
"historical",1861,48.5,33.1,38.4,15.5,34.7,20.9,31,63.5,48,47,44.5,29.8,38.1,15.5
"historical",1862,18.4,43,27.6,40,84,44.2,40.1,33.3,37.1,56.4,37.8,57.1,18.3,18.3
"historical",1863,27.7,38.7,28.5,24.4,42.8,52.8,30.1,40.7,60.5,34.6,24.2,51.3,53.7,24.2
"historical",1864,36.9,35.9,41.6,25,58.1,59.6,33.8,50,58.4,45.2,9.4,39,32,9.4
"historical",1865,31.2,29.3,30.8,6.4,50.1,78.5,26.7,36.6,54.9,43.7,36.4,48.7,34.2,6.4
"historical",1866,46.3,38.2,30.6,27.6,42.3,71,40.9,44.3,38.6,64.4,33.3,50.5,32.4,27.6
"historical",1867,45.9,43,33.7,11.9,44.4,32,40.5,42.4,48.3,58.5,41.5,49.9,35.5,11.9
"historical",1868,30.6,47.8,28.3,28.3,62.5,54.1,56.3,53.7,33.6,52.8,42.3,30.1,31,28.3
"historical",1869,35.5,10.6,34.4,48,48,43.2,59.3,41.1,48.7,31.9,22.4,35.3,38.6,10.6
"historical",1870,50.6,25,14.7,24.9,57,48.2,64.9,54.2,48.1,50.3,54.5,28.9,20.4,14.7
"historical",1871,33.5,42.1,19.7,32.6,62.6,42.8,30.7,39,45.4,47.1,48.5,46.7,27.5,19.7
"historical",1872,61.8,37.1,38.3,14,46.8,39.5,39.1,54.1,41.4,51.3,30,48.4,30.3,14
"historical",1873,24.5,28.3,22.7,41.8,59.9,48.8,46.9,59.8,36.7,49.4,35.5,40.1,29.7,22.7
"historical",1874,39.8,45.4,35.3,9.9,44.3,66.5,50.4,36.4,61.2,56.7,16.7,36.4,43.2,9.9
"historical",1875,41.7,21.5,34.2,33.6,47.2,46.6,26.8,43.5,36.9,45.7,12.6,39.2,54.5,12.6
"historical",1876,43.7,28.8,26.7,18.8,61.3,43.9,15.6,29.7,34,24.1,33.6,24.4,32.5,15.6
"historical",1877,46.2,33.8,20.8,19.9,27.9,25,30.7,40.5,26.7,48.4,22.3,54.8,31.4,19.9
"historical",1878,40.9,24.9,18.6,12.8,48.8,53,48.8,39.4,48,43,21.9,41.3,39.5,12.8
"historical",1879,37.3,24.1,28.8,58.9,66.5,40.3,57.6,54.8,48.9,47.5,32.5,71.9,43.9,24.1
"historical",1880,49.1,40.5,38.4,31,53.1,51.2,30.4,47.7,47.9,51.4,43.7,35.9,43,30.4
"historical",1881,40.1,39.6,31.8,29.6,32.1,37.3,40.6,59.1,49.1,53.7,21.3,30.4,35.2,21.3
"historical",1882,49.7,41,30.6,31.4,48.9,74.9,47.1,39.5,45.7,41.5,58.8,28.7,43.3,28.7
"historical",1883,21.9,52.5,22.9,22.3,25.9,50.3,36,47.3,37.6,55.5,23.5,45.5,42,21.9
"historical",1884,35,40.8,28.4,51.2,58,45.8,47.7,42.4,51,58.7,31.1,30.5,32.7,28.4
"historical",1885,41.1,52.2,41.8,29,77.4,42.5,45.8,31.2,55.5,76.4,20.6,55.9,39.3,20.6
"historical",1886,62.6,54.3,34.5,25.3,43.3,70.5,83,34,34.8,56.1,21.3,41.9,36,21.3
"historical",1887,44.5,46.2,16,9.1,22.3,72.5,46.4,39.4,31.8,45.2,58.2,43.7,29.8,9.1
"historical",1888,44.9,18.9,31.9,26.5,60.4,44.4,40.9,39.3,48.8,49,29.1,50.2,55.1,18.9
"historical",1889,38.9,23,23.7,9.2,41.7,88.7,41.1,54.4,35.4,58.4,31.4,32.1,38.5,9.2
"historical",1890,29.7,28.6,27.7,31.7,47.9,51.9,49.3,38.4,55.2,43.6,24.7,61.2,29.2,24.7
"historical",1891,44.5,58.1,24.8,15.6,21.4,44.6,54.9,38.9,56.6,55.4,19.7,52.9,52.9,15.6
"historical",1892,33.2,30.5,28.1,26.6,51.5,13.8,28,40.6,39.9,57.2,39.8,45,26.8,13.8
"historical",1893,39.9,57.2,31.8,35.7,52.8,82.8,45,52.2,32.6,68.7,13.9,38.2,31.8,13.9
"historical",1894,29.3,51.2,35.2,18.2,37.5,84.1,32,29.5,59.3,51.5,40.3,37.4,32.4,18.2
"historical",1895,46.4,32.4,28.6,24.3,55.4,63.4,23.6,50.4,49.3,58.2,19.8,67.2,40.4,19.8
