"scenario","Year","ACCESS.ESM1.5","BCC.CSM2.MR","CanESM5","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","INM.CM5.0","IPSL.CM6A.LR","MIROC6","MPI.ESM1.2.HR","MRI.ESM2.0","UKESM1.0.LL","ensemble"
"historical",1850,20.3,23.7,23.7,21.3,NA,20.4,23.5,22.2,18.1,26.9,20.2,21.7,20.6,18.1
"historical",1851,20.8,21.1,22.6,21.5,19.8,20.2,22.3,21.8,18.3,26.3,20.3,21.1,19.7,18.3
"historical",1852,21.4,21.9,22.8,22.5,20.9,20.1,23.6,21.4,16.6,26.4,19.3,21.2,21.9,16.6
"historical",1853,20.3,22.1,22.6,23.1,21.5,19.9,23.9,22.2,19,27.2,21.2,22,19.3,19
"historical",1854,22,23,21.1,20.6,20.6,21.1,21.7,21.2,17.3,26.8,20.2,20.8,22.1,17.3
"historical",1855,19.9,23.6,23.3,21.2,18.9,20.5,21.9,20.8,19.4,27.1,20.5,19.5,21.2,18.9
"historical",1856,23.2,21.8,22.9,20.5,19.9,19.4,24.1,21.7,17.5,27.5,19.7,21,21.3,17.5
"historical",1857,22.6,24.5,22.4,21,19.7,19.1,23.2,21.6,18,27.3,19.2,21.9,21.1,18
"historical",1858,23.5,23.3,23,20.9,21.1,20.1,23.6,21.9,18.4,27.2,18.8,21.2,20.8,18.4
"historical",1859,21.9,20.9,21.7,21.3,20.4,18.4,22.7,22.1,18.8,27,19.4,21.5,18.8,18.4
"historical",1860,22.3,23.9,21.7,22.1,20.9,20.3,23.6,21,18,26.6,19.3,21.3,21.3,18
"historical",1861,22,23.5,22.9,21.8,21.4,19,23.7,21.6,18.8,25.7,21,22,22.1,18.8
"historical",1862,21.7,22.3,22.4,22.3,20.3,18.9,24.1,21.4,18.6,27.2,20.1,20.2,21.4,18.6
"historical",1863,21.4,22.2,23.1,20.7,21.7,21,23.9,21.3,17.5,25.6,19.7,22,19.1,17.5
"historical",1864,22.7,21.8,22.1,21.9,20.8,21,22.9,21.4,18,27,19.2,21.7,21.8,18
"historical",1865,21.5,25.4,21.9,21.6,18.9,18.9,24.1,20.5,17.7,26,19.7,21.1,21.3,17.7
"historical",1866,21.4,22.9,22.3,20.4,20,19.5,23.7,21.3,17.4,27.5,20.5,21.2,21.7,17.4
"historical",1867,21.7,23.3,22.6,21.7,19.9,19.3,23.7,21,18.3,27.7,18.4,20.9,19.8,18.3
"historical",1868,21.7,22.5,22.4,20.7,20.5,20.6,23.1,21,18.8,27.2,21.2,22.1,20.5,18.8
"historical",1869,22.9,23,22.3,21.9,20.2,20.5,24.6,21.4,19.3,26.3,20,20.9,20,19.3
"historical",1870,22.1,21.8,21.8,21.6,21.3,20.1,23.9,21.8,17.6,26,19.6,19.9,20.1,17.6
"historical",1871,22.5,22.9,21.1,21,20.5,18.6,24.1,21.3,19.3,27.1,20.5,21.1,21.3,18.6
"historical",1872,20.2,23.4,22,21.3,21.1,21.1,23.3,21.5,18.2,26.1,20.4,21.6,19.9,18.2
"historical",1873,21.6,22.8,23.6,21.5,19.5,18.4,23.3,21.3,17.4,26.6,20.6,20.2,20,17.4
"historical",1874,21.6,23.7,23.4,20.8,19,18.9,23.6,21.9,19.3,25.1,20.7,20.3,20.2,18.9
"historical",1875,20.8,20.9,22.1,21.9,21.5,18.9,24.4,21.2,19.2,26.9,20.6,21.8,22.9,18.9
"historical",1876,21.7,23.9,21.8,21.3,21.3,20.1,23.1,22,19.1,26.4,20.9,20.4,21.5,19.1
"historical",1877,23.4,24.9,21,20.6,19.1,20.1,24,22.3,18.2,26.1,20.2,22,20.5,18.2
"historical",1878,21.8,21.5,21.6,22,21,20,21.3,20.3,19.3,26.8,19.8,21.6,20.8,19.3
"historical",1879,22.6,21.5,21.6,21.5,18.6,20,23.6,21.6,18.1,26.4,21.2,21.7,21.5,18.1
"historical",1880,21.7,22.3,23.2,19.8,20,20.6,24.7,19.7,17.4,27.4,19.5,21.6,20.9,17.4
"historical",1881,21,22.6,22.5,20.5,20.1,19.6,21.4,20.6,19,27.4,20.7,20.2,21.7,19
"historical",1882,22.4,21.8,22.9,20.5,21.1,19.9,22.4,21.5,18.4,27.5,19.8,21.3,20.8,18.4
"historical",1883,23,23,20.6,21,21,20.5,23.8,20.9,17.8,27,20.5,20.3,21,17.8
"historical",1884,20.9,23.3,21.1,20,18.4,19.4,23.2,20.8,17.2,25.4,19.8,21.1,20.2,17.2
"historical",1885,21.9,20.3,20.7,20.4,18.9,17.5,23.5,19.8,17.7,26.1,18.6,20.1,20,17.5
"historical",1886,20.4,23.6,23.1,21.6,20.5,19.3,23.1,21.8,17.8,27.1,20.4,22,18.8,17.8
"historical",1887,20.9,21.3,22.1,20.7,20,20.1,23.6,20.4,17.5,25.5,20.3,21.7,18.9,17.5
"historical",1888,21.1,21.8,21,21,19.3,18.2,24,21.2,17.2,27.4,21.1,20.3,19.6,17.2
"historical",1889,22.3,23.3,21.9,20.8,19.4,19.9,22.8,21.4,18.2,26.7,18.6,20.6,21.5,18.2
"historical",1890,20.6,24.6,21.3,21.5,19.9,20.5,23.4,21.6,18.1,27.2,21.1,20.9,20.5,18.1
"historical",1891,22,22.4,21.1,20.3,20.6,19.3,22.6,21.6,17.7,26.4,21,21.7,20.8,17.7
"historical",1892,21.9,23,22.2,20.5,20.9,19.5,23.1,21,16.7,26.5,20.5,21.2,21.4,16.7
"historical",1893,18.5,23.6,22.2,21.6,20,19.5,22.5,22.3,17.8,26.7,21.2,21.6,21,17.8
