"scenario","Year","ACCESS.ESM1.5","BCC.CSM2.MR","CanESM5","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","INM.CM5.0","IPSL.CM6A.LR","MIROC6","MPI.ESM1.2.HR","MRI.ESM2.0","UKESM1.0.LL","ensemble"
"historical",1850,54.4,39.2,41.6,53,NA,51.9,58.3,53,52.4,47.1,44.5,55.2,38.4,38.4
"historical",1851,51.8,53.7,46.2,52.8,50.1,55.2,58.9,52.2,52.4,52.9,47.8,59.7,45.2,45.2
"historical",1852,50.4,62.1,49.2,49.1,51.9,56.3,61.3,52.5,51.4,53.5,51,59.5,42.4,42.4
"historical",1853,52.9,57,47.4,46.8,46.9,58.7,61.5,53.5,55.5,47.3,54.5,59,43.6,43.6
"historical",1854,48.8,52.1,46.1,57.2,36.8,53.3,56.1,48.8,57.3,46.5,45.3,59.7,40.9,36.8
"historical",1855,53.8,55.8,45.7,46.6,53.8,52.1,57.7,52,54.3,46.4,47.4,61.6,43.3,43.3
"historical",1856,50.3,56.6,47.5,57.9,57,50,60.4,56.5,53.7,54,51.7,54.3,40.5,40.5
"historical",1857,47.4,55.9,45.7,51.3,47.5,54.9,54.5,58.1,60,50,48.3,63.8,41.6,41.6
"historical",1858,53.8,57.7,42.1,55.1,45.1,58.6,64.5,60.3,52,49.7,48,49.3,44.4,42.1
"historical",1859,50.6,52.5,45.5,54.9,48.4,53,60.3,52,52.1,50.9,50.8,58,42.1,42.1
"historical",1860,53.7,59.9,48.2,56.4,51.2,62.1,55.9,54.9,54.6,51.1,51.9,55.6,39.4,39.4
"historical",1861,56.4,58.2,48.9,52.2,54.6,49.5,57,51.4,59,45.4,50.2,58.8,38.1,38.1
"historical",1862,51.7,52.4,49.3,53.4,44.4,49.7,57.5,53,52.4,52.6,48,60,42.8,42.8
"historical",1863,52.3,53.1,44.2,54.5,50.9,53.7,57.2,56.1,48.5,48.8,46.9,53.5,42.4,42.4
"historical",1864,48.8,56.6,47.1,51.4,49.7,55.5,54.4,58.7,53,49.1,44.7,58.2,42.1,42.1
"historical",1865,46.7,53,44.9,54,49.6,52,59.3,57.8,53.7,47.3,47.3,64.1,38.6,38.6
"historical",1866,56.5,45.8,49.6,58.4,52.2,50.7,59,53.1,52.7,50.9,47.9,54.8,43.3,43.3
"historical",1867,59.1,51.9,37.1,52.7,50.3,55.9,55.3,51.6,49.6,48.6,54.2,47.7,45.1,37.1
"historical",1868,48.2,46.2,45.1,48.3,48.3,56,57.5,49.5,48,49.5,46.9,56.7,45.1,45.1
"historical",1869,39.6,51.7,46.8,45.9,42.4,56,66.2,51.9,49.2,51.8,45.2,57.5,37.3,37.3
"historical",1870,49.7,58.3,46.8,52.5,48.7,54.9,64.4,60.2,51.8,42.3,52.6,61.8,42.7,42.3
"historical",1871,56.3,57,45.9,50.4,46.6,49,61.5,54,54.4,52.6,43.8,58.6,38,38
"historical",1872,51,58.5,44.6,52.8,46.8,53.2,59.3,53.1,50.7,51.7,50.9,56.2,45,44.6
"historical",1873,48,55.5,42.1,53.6,51.3,51.4,57,57.9,51,48.6,42.9,61.7,43.7,42.1
"historical",1874,50.5,63.1,49.9,54.4,48.3,61.4,52.8,55.7,54.5,47.9,50.3,56.5,42.9,42.9
"historical",1875,51,52.9,45.6,52.3,53.4,56.5,55.1,59.5,52.3,55.8,44.4,52.9,41.1,41.1
"historical",1876,51.6,57.6,45.3,55.1,48.2,57.1,49.5,58.6,55.2,51.6,52.1,50.4,42.6,42.6
"historical",1877,48.8,51.7,41.9,53.8,49.1,54.5,52.5,54.3,53.8,49.5,45.1,57.5,41.2,41.2
"historical",1878,52.1,59.5,42.5,52.8,44.6,55,57,57.9,56.1,47.7,47.2,56.2,40.1,40.1
"historical",1879,56.7,50.4,43.1,53.8,51.3,58.1,59.1,58.8,43.9,46.9,51.6,58.7,43.6,43.1
"historical",1880,52.7,52.2,46.4,54.4,45.1,61.1,60.2,54.1,49.5,53.1,47,54.8,41.9,41.9
"historical",1881,56,53,43.4,58,45.9,55.7,57.9,55.1,53.1,48.4,51.9,53.7,40.8,40.8
"historical",1882,54.4,57,47.3,57,44,54.2,61.7,49.3,49.1,49.7,46,56.7,38.8,38.8
"historical",1883,46.4,57.5,46.9,52.8,49,52.2,63.7,57.9,50,50.1,43.7,57.4,40.9,40.9
"historical",1884,44.9,50.9,41.1,52.6,46.6,52.3,55.9,57,55.1,52.7,46.6,54.4,36.1,36.1
"historical",1885,55.4,61.4,46.7,56.2,45.7,57.2,61.2,54.2,52.8,46.3,52,60.2,44.6,44.6
"historical",1886,54.4,55.9,36.9,47.4,52.1,58,62.3,56,49.3,46.5,49.9,53.4,44.4,36.9
"historical",1887,49.2,55.5,42.8,51.6,51,52.2,64.3,55.7,47.2,46.2,48.3,60,40.8,40.8
"historical",1888,52.2,58.1,49.1,56.6,46.3,57.3,57.1,48.9,55.8,45.9,45,53.5,43.1,43.1
"historical",1889,51.5,56.2,48.3,56.6,46.8,60.2,50.8,52.1,50.2,46.9,39.9,58.7,46.3,39.9
"historical",1890,56,47,47.7,49.6,42.3,57.9,58.9,52.5,53,47.6,53.2,55.6,43.6,42.3
"historical",1891,50.8,53.8,40.5,51.8,53.3,56.8,62.5,53,51.4,51.6,46.1,58.8,39.1,39.1
"historical",1892,55.4,46.5,39,53.8,48.9,56.5,60.6,53.8,49.7,46.6,44,62.6,41.3,39
"historical",1893,53.2,53.3,45.6,56.3,46.5,54.3,58.5,51.5,53.7,47.4,45.4,53.1,40.8,40.8
"historical",1894,49.4,53.4,45.5,50.6,47.6,55.4,64.4,50.2,55.2,50.1,32.4,65.4,41.2,32.4
"historical",1895,53.1,53.2,43.5,46.7,46.5,53.5,55.2,53.1,54.6,50.3,50,56.9,42.5,42.5
"historical",1896,55.8,55.7,45.2,55.7,44.1,56.3,59.4,53.4,51.8,51.2,45.3,64,44,44
"historical",1897,46.3,55.7,45.1,54.3,52.7,55.1,56.3,59.1,55.5,49.5,45.3,55.9,42.9,42.9
"historical",1898,51,55.7,47.8,58.6,48.8,54.6,58,56.7,49.4,46.3,48.5,57.3,40.9,40.9
"historical",1899,53.4,54.8,50,55.6,50.8,62.8,60.2,53,49.2,48.7,48.1,62.9,38.5,38.5
"historical",1900,55.3,49.5,45.7,53.2,49.6,49.7,58.7,55.7,54.3,46.5,44.8,55.4,39,39
"historical",1901,57.9,51,44,48.2,45.5,61.3,55.3,55.6,55.8,52.7,50.6,57.8,41.3,41.3
"historical",1902,47.9,50.6,44.2,54.1,46.8,51,64.3,51.8,53.3,53,55.5,58,43.6,43.6
"historical",1903,48.3,53.2,39.6,51.8,46.4,56.8,61.1,51.7,54.6,46,46.8,54.4,40.8,39.6
"historical",1904,55.9,55.8,45.6,52.1,50.2,49.1,67,57.1,49.5,38.4,44,61.7,40.7,38.4
"historical",1905,52.9,43.3,45.1,55.3,50.3,50.1,58.7,59.9,57.2,52.7,49.1,54.1,44.9,43.3
"historical",1906,55.4,49.8,48.2,55.1,56.4,54.3,56.2,59.9,49.1,47.6,47.6,55.8,40.2,40.2
"historical",1907,54.9,57.1,48.4,49.8,36.8,58.7,59.5,55.6,53.9,48.9,49,59.5,43.1,36.8
"historical",1908,56.4,49.1,45.1,43.3,44.4,52.8,58.1,56.6,50.1,52,52.6,58.3,43.8,43.3
"historical",1909,52.3,52.2,49.5,53.5,52.2,58.2,59.8,57.5,52.6,45.7,47,56.6,36.1,36.1
"historical",1910,44.1,51.1,51.5,59.2,48.5,54.7,61,57.5,56.7,51.9,47,53.6,42.6,42.6
"historical",1911,56.9,50,47.4,54,49.4,55.8,58.3,53.6,55.1,48.1,47.8,58.1,41.7,41.7
"historical",1912,52.6,61.8,42.5,51,45.5,58.9,56.6,56.1,48.2,46.3,48.8,58.5,45.1,42.5
"historical",1913,49,53.3,46.9,48.1,44,60.9,55,55.4,56.6,47,45.1,56.8,36.4,36.4
"historical",1914,54.6,53.8,45.6,53.5,50,50.8,59.9,57.7,51,48.7,49.9,58,38.5,38.5
"historical",1915,49.1,51.5,42.1,49,47.6,56.5,61.1,50.5,53.1,52.7,49.7,49.4,43.4,42.1
"historical",1916,50.7,50.6,44.8,56.2,54.9,57.6,57.8,56.5,53,44.7,48.1,59.3,36.1,36.1
"historical",1917,55.6,55.2,48.6,58.7,45.8,51.2,61.4,52.6,54.1,51.7,48.5,57,39.4,39.4
"historical",1918,50.6,52.6,43.9,54.2,47.4,60.7,56.3,55.3,52,50.1,43.4,56.5,46.2,43.4
"historical",1919,49.1,54.8,49,49.6,48,53.7,58.3,58.5,54.8,51,44.3,55.8,42.7,42.7
"historical",1920,44.3,57.5,47.3,52.8,45.4,51.3,54,53.1,52.8,52.8,50.8,58.4,41.1,41.1
"historical",1921,48.8,55.6,49.6,55.8,49.6,57.5,60.9,55.5,51.4,50.9,52.5,53.9,43.1,43.1
"historical",1922,52.3,44.4,43.9,60.1,55.5,52.2,54.5,54.2,49.9,47.7,47.7,63,37.7,37.7
"historical",1923,44.4,53.8,44.9,53.5,50,61.6,61,55.4,56.7,52.3,49.7,55,42.6,42.6
"historical",1924,50.2,48,46.8,50.3,52.4,52.8,53.7,47.6,54,49.1,47.4,60.2,35.6,35.6
"historical",1925,53,53.1,44,48.8,45.8,55,65.9,52.1,51.7,48.8,48.3,55.5,43.1,43.1
"historical",1926,53.2,55.8,45.4,55.5,44.4,50.9,59.4,54.9,49.4,48.6,44,56.7,44.1,44
"historical",1927,53.3,47.3,41,49.7,52.2,52.5,58.5,54.7,49.2,47.3,47.6,58.9,40.2,40.2
"historical",1928,53.1,52.2,49.4,53.6,49.1,58,60.5,52.8,48.9,52,45.4,57.6,42.2,42.2
"historical",1929,49.2,55.1,44.7,57.9,52.2,52.2,52.5,54.8,56,48.9,47.1,62.6,43,43
"historical",1930,48.2,57.4,45.6,52.9,38.3,51.3,59.8,50.4,54.2,47,48.6,51.1,42.7,38.3
"historical",1931,54.1,48.3,44,53.4,47.6,56.4,57.6,48,51.4,47.9,42.7,59,39.7,39.7
"historical",1932,51.8,59.5,50.2,51.4,45.7,55.7,57.6,53.3,55.9,48.6,47.8,61.3,40,40
"historical",1933,52.1,44,46.4,57.8,55.6,56.9,57.8,55.7,53.3,52.6,53.8,59.1,41.5,41.5
"historical",1934,58.1,51.1,47.1,46.2,48.2,60.2,58.7,57.8,47.7,52.2,50.5,63.2,41.3,41.3
"historical",1935,54.9,47.7,46.6,50.3,47.2,56.9,59.3,54.3,53.8,49.3,49.4,53,44.9,44.9
"historical",1936,51.6,54.4,46.1,49.5,43.4,46.6,61.2,57.2,54.3,47.1,51.4,59.6,41.5,41.5
"historical",1937,53.3,54.7,48.9,49.4,45.2,53,60.6,56.7,54.8,50.8,46.2,56.9,37.3,37.3
"historical",1938,48.2,52.6,49.4,53.2,59.4,55,60.1,50.3,55,50.9,46.9,59.2,46,46
"historical",1939,52.8,54.6,48.9,53.8,49.3,53.6,56.5,61.2,53.4,49,49.3,53.5,38.5,38.5
"historical",1940,55.8,52,42.4,52.9,48.3,54.5,58.9,58.6,53.5,52.6,47.4,59.5,43.8,42.4
"historical",1941,51.5,57.7,47.1,58.2,53.4,56.2,60.4,51,60.2,52.8,57.3,60.9,36.7,36.7
"historical",1942,51.5,58.9,46.8,50.4,48.4,56.7,58.2,53.1,49.3,50.8,51.2,56.4,42,42
"historical",1943,52.4,59.9,44.4,54.9,47.3,50.8,55.2,57.7,53,47.1,50.6,63.8,41.3,41.3
"historical",1944,55.7,51.6,50.8,56.4,52.4,49.7,56.3,53.8,53.7,47.8,55.1,56,40.4,40.4
"historical",1945,50.4,45.6,44.3,50.6,38.1,52.1,58.3,53.5,56.4,47.2,49.4,64.5,39.9,38.1
"historical",1946,51.6,50.2,46.7,45.6,43.5,54.2,56.6,55.5,58,49.6,55.4,58.4,43,43
"historical",1947,55.7,51.1,48,55.5,51.3,52.8,63.2,54.6,57.9,45.9,58.3,56.2,39.7,39.7
"historical",1948,50.8,59.4,46.9,56.2,52,51.1,56.1,58.4,56,46.7,47.9,61.6,37.6,37.6
"historical",1949,50.8,48.7,47.2,46.1,49,49.4,63.1,58.2,58.2,52.5,49,57.6,37.8,37.8
"historical",1950,48.8,54.7,43.4,55.7,54.8,54.3,57.6,54.6,51.8,44.7,48.3,61.1,36,36
"historical",1951,49.7,54.9,49.3,47.3,51.6,50.4,57.9,51,50,46.9,43.1,59.9,44.1,43.1
"historical",1952,51.9,54.2,42.7,43.5,51.1,61.3,57.6,51.9,56.6,47.3,47.5,57,42.8,42.7
"historical",1953,49.1,54.9,40.9,55.3,54.7,54.1,56.3,54,53.4,46.5,47.3,54.8,38.2,38.2
"historical",1954,47.6,52.7,46.7,57,47.2,52.3,62.8,55.6,59.1,50.8,45.2,55.9,40.4,40.4
"historical",1955,48.2,50.6,46.3,54.2,47.5,49.7,54.8,54.5,50.9,53.4,46.9,58.6,36.5,36.5
"historical",1956,48.9,50.8,41.4,47,52.8,59.1,60.5,57.7,48,52.4,48,58.1,42.7,41.4
"historical",1957,52,54.5,46.5,54.3,45.8,56.5,59.7,56.1,51.2,47,48.6,53.2,42.8,42.8
"historical",1958,52.7,58.3,42.3,55,54,58.8,60,52.5,54.8,49.8,46.7,60.6,43.5,42.3
"historical",1959,49.9,47.8,42.5,53.7,49.7,54.6,54.3,53.6,55,49.9,51.7,59.3,41.1,41.1
"historical",1960,56.1,48.8,44.8,52.1,40.7,56.4,57.1,53.8,57.2,46.3,51.6,59.8,41.7,40.7
"historical",1961,52.9,56.2,38.4,48.6,55.7,55.9,63.5,58,53.1,44.1,45.1,61.5,41.5,38.4
"historical",1962,51.7,50.8,49.2,56.9,51.3,55.5,56.5,55.1,52.4,54.6,44.8,50.2,39.4,39.4
"historical",1963,53.5,57.2,49.6,50.9,48.7,51.1,59.2,56.6,52.5,53.1,39.7,58,41.5,39.7
"historical",1964,48.8,48.6,48.5,47.8,43.8,47.1,58.7,54.5,52.8,52.1,47.6,52.7,39.4,39.4
"historical",1965,55.1,49.5,45.8,48.3,50.9,51.5,60.1,54.8,47.8,48.3,49.8,48.7,43,43
"historical",1966,52.7,55.9,43.1,54.2,43.1,53.9,63.9,52.4,59.4,48.1,44.9,54.7,33.8,33.8
"historical",1967,48.6,56.6,41.4,52.6,46.9,53,61.9,54.4,61,50.1,42,55,38.1,38.1
"historical",1968,50.3,51.5,43.1,50.3,48,54,60.6,52,51.6,50.3,46.1,51,41.8,41.8
"historical",1969,52.9,52.5,49.4,54.2,46.2,61.4,58.1,55,48.6,52.4,45.1,57.2,40.4,40.4
"historical",1970,46.1,60.9,42.7,54.5,51.3,49.1,64.9,54.5,56,49.1,49.6,52.7,40.9,40.9
"historical",1971,50.8,50.1,44.5,51.4,49.9,47.7,53,57.9,51,51.7,45,57.1,41.3,41.3
"historical",1972,49.2,49.1,46.1,47.4,49.7,56.7,58.6,53,52.3,48.1,44.8,52.5,37.7,37.7
"historical",1973,46.8,52.8,46.9,50.9,44.2,52.6,55.4,59.4,47.2,53.7,49.1,65.4,45.3,44.2
"historical",1974,55.4,59.6,43.7,48.1,51.3,53.9,60.7,52.9,57.4,50.8,50.6,57.7,38.5,38.5
"historical",1975,45.5,46.3,41,53.2,57.1,50.8,55.2,56.7,49.4,46.5,49.1,57.5,42.5,41
"historical",1976,51.2,51,44.7,55.8,43.7,49.5,63.3,57.3,52,49.7,47.6,60.6,43.8,43.7
"historical",1977,49.4,62.3,44.6,51.2,49.3,54.8,57.1,53.1,60.5,46.6,51.7,63.6,44.1,44.1
"historical",1978,46,47.5,48.8,50.4,44.8,61.6,57.3,57.7,52.3,49.7,47.8,51,41.4,41.4
"historical",1979,51.2,56.3,49.6,53.1,46.4,57.3,66.9,56.1,55.3,47.5,47.3,50.3,42.7,42.7
"historical",1980,59.3,55.5,45.3,56.2,46.4,53.1,58.8,53.6,56.8,51.5,49.4,59.2,44.2,44.2
"historical",1981,49.9,62.4,43.6,54.7,46.5,54.8,57.3,53.1,59.5,50.1,45.8,62.2,38.8,38.8
"historical",1982,49.5,49.1,48.6,56.1,48.5,53.8,54.3,57.2,52.6,49.2,56.7,58.7,41.5,41.5
"historical",1983,54.3,59.1,50.3,52.7,42.8,49.7,60.3,54.5,51.8,49.5,48.8,58.6,42.7,42.7
"historical",1984,45.3,52.6,43.6,60.7,41.3,58.1,54.8,57.9,53.9,46.2,49.5,58,38.8,38.8
"historical",1985,45.8,56.4,51.4,58,49.4,61.3,55.8,54.2,57.3,47.7,49.8,58,42.1,42.1
"historical",1986,52.4,46.8,43.9,56,52.4,51.6,65,57.1,51.7,51.3,51.1,58.9,38.4,38.4
"historical",1987,52.6,58.2,44,53.3,50.6,52.5,53.5,54.6,56.8,49.3,53,58,37.9,37.9
"historical",1988,47.9,54.4,49.1,56.7,51.7,53.6,64.2,48.5,54.7,48.9,59.2,55.6,40.6,40.6
"historical",1989,52.8,58.9,49.8,54.1,45.6,52.8,59.1,57.7,57,51,51.6,54.3,45.8,45.6
"historical",1990,50.5,52.8,47.7,47.9,53.5,56.4,64.5,59.9,54.4,47.4,50,61.2,45.5,45.5
"historical",1991,56.3,51.5,48.4,49.4,45.8,56.3,59,57.3,50.8,49.5,47.6,58.5,38.6,38.6
"historical",1992,50.3,57.1,50.4,52.2,53.4,52.9,58.6,60.9,56.3,45.9,48.2,54.6,43.5,43.5
"historical",1993,51,57.8,47,50.7,51.3,55.3,54.7,58.3,56.7,45.5,48.7,58.4,43.8,43.8
"historical",1994,51.7,52.2,43.1,45.2,44.9,50.4,60.2,54.1,53.2,47.2,52.5,53.6,46,43.1
"historical",1995,55.6,48.6,45.2,48.1,49.4,57.4,62,55.6,56.4,52.1,51.4,63.3,43.5,43.5
"historical",1996,53.1,47.4,45.1,54.7,41.3,54.5,55.5,56.3,52.6,43.8,42.8,57.7,41.7,41.3
"historical",1997,55.9,48.7,46.5,58.9,51.6,57.2,63.7,60.3,52.5,42.5,47.6,53.8,44.7,42.5
"historical",1998,53.7,61.6,45,56.4,46.3,50.9,60.3,49.8,58,54.4,46.1,63,41.2,41.2
"historical",1999,57.8,55,48.6,49.5,43.5,55.3,62,55.1,58.8,54.3,54,61.3,40.6,40.6
"historical",2000,54.2,54.6,46.1,56.2,48.6,56.4,59.3,57.1,55.7,51,44.4,60.6,38.3,38.3
"historical",2001,48.5,54.3,46.2,51.6,51.3,53.4,57.6,59.6,52.8,48.2,52.4,59.1,40.7,40.7
"historical",2002,48.5,48.4,43.7,49.7,54.2,57.2,64.6,54.8,54.2,56.2,50.5,57.1,39.9,39.9
"historical",2003,52.3,64.5,51.4,47.2,39.6,57,58.7,59.9,45.1,54.2,50.4,64.4,33.9,33.9
"historical",2004,52.1,60.4,48.8,57.3,47.3,55.1,58.8,53.8,53.6,47.8,49.4,57.5,41.3,41.3
"historical",2005,53.8,62.7,46.9,48.3,49.5,58.4,61.5,59.2,49.7,50.5,47.3,57,44.6,44.6
"historical",2006,54.9,53.5,48,56.2,45.8,54,63.8,60.6,58,51.6,51,62.1,41.6,41.6
"historical",2007,53.6,50.6,43.7,58.6,55.7,53.1,58,54.2,53.7,51.2,50.9,62.7,41.2,41.2
"historical",2008,54.3,55.5,43.4,53.3,59.8,52.6,55.5,55.4,53.5,57.2,50.7,58.9,47.2,43.4
"historical",2009,48.9,53.1,46.1,51.8,54.9,59.6,65.2,58.4,52.8,53.7,46.9,60.4,37.4,37.4
"historical",2010,46,53.6,50.9,53.1,58.3,50.2,58.1,55.3,55.3,52.7,49.2,56.2,39,39
"historical",2011,48.2,54.9,50.7,52.3,54.5,57.2,59.8,58.2,54,48.4,49.5,50.4,49.9,48.2
"historical",2012,55.7,49,48.6,50.3,53.4,62.2,62,55.9,58.6,48.8,50.6,57.6,44.9,44.9
"historical",2013,58.2,53.4,51.1,44.7,53.7,59,58.8,57.8,47.2,54.2,46.8,52.8,40.3,40.3
"historical",2014,51.3,53.4,49.8,50.6,50.3,59,62.2,56.7,59.7,49.7,48.2,54.3,45,45
"ssp126",2015,53.9,45.1,47.4,56.5,52.6,64.3,66.5,64.5,64,50.6,51.9,64.1,52.3,45.1
"ssp126",2016,56.7,73.2,55.8,54.5,46.7,67,61.1,62.8,60,48.4,61.3,69,48.3,46.7
"ssp126",2017,59.1,60.6,45.1,55.7,50.9,66.7,56.4,58.8,59.1,47.7,44.9,56.4,46,44.9
"ssp126",2018,53.4,60.1,43.8,54,55.8,58.4,59.5,55.8,53.8,53.3,48.8,63.6,47,43.8
"ssp126",2019,49.8,61.9,47.3,49.4,58.5,63,60,57,50.7,51.1,53.8,62.1,47,47
"ssp126",2020,56.6,65,47,48.1,55.8,62.1,68.8,65.9,59.1,52.5,62.2,63.4,45.3,45.3
"ssp126",2021,56.3,67.6,45.2,59.8,52.8,56.3,57.4,58.7,57.7,50.6,48.9,72.4,47.7,45.2
"ssp126",2022,57.9,57.8,44.3,57.4,49.8,54.1,65.3,58.7,54.7,50.4,55.6,60.1,44,44
"ssp126",2023,51.5,65.7,51.1,49.3,59.6,47.4,60.7,63.7,59,51.9,54.6,67.4,46.7,46.7
"ssp126",2024,52.4,71.4,47.6,49.6,53.6,49.4,65.3,64.1,59.4,54.1,57.3,78.9,46.6,46.6
"ssp126",2025,63,58.1,51.7,59.2,43.7,72.2,64.1,59.3,63.7,52.8,55.1,63,41.4,41.4
"ssp126",2026,55.1,58.1,49.7,49.7,49.2,67.5,67.6,62.1,61.6,55.4,51.6,69.7,49.2,49.2
"ssp126",2027,57.5,55.7,49.5,55.4,55.8,65.7,70.3,67.5,53.6,50.4,57.6,62.9,49,49
"ssp126",2028,54.2,61.8,50.7,58,49.5,70.2,66.6,61.1,61,52.9,63.6,65,52.9,49.5
"ssp126",2029,59.3,57.9,49.8,58.4,50,70,48.2,66.7,53,52,52.3,73,45.6,45.6
"ssp126",2030,50.7,57.8,52.1,51.7,49.3,66.1,65,66.5,57.5,52.5,44.6,57.1,44.4,44.4
"ssp126",2031,59.1,70.6,47.2,58.3,53.5,61.4,73.2,62.8,61.5,53.8,62.6,65.2,48.7,47.2
"ssp126",2032,58.1,75.5,51,55.8,50.9,70.1,64.7,63.6,63.6,50.9,52.9,72.6,46.9,46.9
"ssp126",2033,53.2,64.2,53.1,60.9,46.4,63.3,59.6,64.3,60.9,47.3,52.2,67.5,52.2,46.4
"ssp126",2034,54.3,62.1,47.4,61.3,49.1,63.4,59.1,60.3,57.6,52.7,61.2,69.9,46.7,46.7
"ssp126",2035,53.2,68.5,45.5,50.5,47.9,72.1,62,60.9,58.4,51.5,59.6,76.8,47.7,45.5
"ssp126",2036,60,67.7,54.9,52.2,53.8,68.7,62.8,61.7,61.1,52,48.4,62.3,47.4,47.4
"ssp126",2037,54.7,55.9,54.5,60,58.6,54.2,60.8,66.8,63.8,50.8,56.2,62.5,54.6,50.8
"ssp126",2038,52.7,64.9,51.3,54.6,51.6,67.6,54.9,62,62.7,51.4,55.1,77.2,53.3,51.3
"ssp126",2039,54,64.7,52.4,48.5,46.2,57.3,60.1,60.9,59.1,48.9,63.5,70.2,53.4,46.2
"ssp126",2040,57.7,49.7,53.7,54.8,56,54.6,61.2,54.1,59.2,52.1,58.5,70.8,47.6,47.6
"ssp126",2041,54.1,62.5,51.3,53.4,45.3,69,55,60.6,63.2,52.3,55,73.5,46.9,45.3
"ssp126",2042,51.8,65.7,56.6,54.1,54.1,59.5,53.4,62.5,63.3,50.2,64.1,73.3,50.9,50.2
"ssp126",2043,60.7,64.1,51.8,65,43.9,60.7,66.1,69.4,56.7,54.2,53.1,71.2,51.6,43.9
"ssp126",2044,56.4,61,50.2,60.2,53.8,51.7,67.9,63.2,60.9,55.3,58.9,65.6,51.9,50.2
"ssp126",2045,56.4,49,50.8,60.9,61.5,62.9,61.1,61.9,59.5,52.4,51.2,65.4,54.6,49
"ssp126",2046,52.2,63.8,52,51.9,55,67.4,62,70.4,63.8,51.3,59.3,68.1,51.7,51.3
"ssp126",2047,54.1,68.8,53.2,55.5,53,64.7,52.5,57.6,56.6,56,64,72.7,50.7,50.7
"ssp126",2048,52.9,60.9,49.2,57.4,43.5,64.2,61.8,63.1,62.5,51.3,46.2,66.7,51.3,43.5
"ssp126",2049,54,70.5,54.2,59.2,58.9,61.2,66.8,65.1,62.6,55.1,53.1,67.1,47.4,47.4
"ssp126",2050,57.9,62.8,52.9,54.8,57,61.2,56.8,63.3,61.8,52.4,55.2,74.2,51.5,51.5
"ssp126",2051,60.4,68.8,48.4,55.3,58.4,63.5,63.4,66.5,58,53.8,61.4,60,48.5,48.4
"ssp126",2052,55.1,67.9,49.9,57.7,46.9,57.6,65.2,54,48.6,55.8,54.1,72,46.3,46.3
"ssp126",2053,53.5,59.7,48.6,55.4,52.7,61.1,62,49.5,61.8,53.8,49.9,82,48.9,48.6
"ssp126",2054,61.4,52.4,52.9,64.1,46.7,64.2,66,70.1,61.1,52,58.7,66.2,54,46.7
"ssp126",2055,51.9,52,49.4,56.1,56,63.9,66.3,54.1,66.2,53.4,54,62.6,54.5,49.4
"ssp126",2056,60.6,68.6,51.9,54.1,46.1,78.8,62.6,66.7,69,51.6,62.8,71.3,49.1,46.1
"ssp126",2057,58.2,64.3,51.8,59.2,53.7,57.7,56.7,65.7,57.5,53.1,59.8,59.5,53.7,51.8
"ssp126",2058,58.1,64,51.2,49.8,50.3,60.6,63.1,64.6,58.9,51.5,50.8,67.7,48.3,48.3
"ssp126",2059,57.7,57.8,53.4,54.6,59.1,65,62.2,53.8,56.6,54.1,52.1,63.3,49.7,49.7
"ssp126",2060,64.7,61.7,46.5,62.2,55.6,67.8,64.2,56,52,49.6,53.2,73.8,46,46
"ssp126",2061,45.6,59.8,52.6,55.5,59.2,58.4,59.7,55,64.6,55.8,48.1,63.3,54.3,45.6
"ssp126",2062,64.3,69.5,49.5,60.3,48.9,68.8,66,67,60.1,44.7,47.9,74.1,46.8,44.7
"ssp126",2063,56.7,71,56.3,50.8,54.1,73.9,65.8,65.8,57.3,55.5,60.8,56.2,50.6,50.6
"ssp126",2064,57.8,62.7,55.8,57.7,54.8,54.5,60.4,58.7,61.7,53.8,59.9,67.5,44.9,44.9
