"scenario","Year","ACCESS.ESM1.5","BCC.CSM2.MR","CanESM5","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","INM.CM5.0","IPSL.CM6A.LR","MIROC6","MPI.ESM1.2.HR","MRI.ESM2.0","UKESM1.0.LL","ensemble"
"historical",1850,201.8,148.8,207.9,186.6,NA,174.2,196.8,182,202,142.4,132.7,259.3,114.3,114.3
"historical",1851,184.6,210.2,168.8,199.6,210.8,262.7,129.7,211,185.3,157.8,108.3,179.8,95.6,95.6
"historical",1852,164.8,155.3,172.3,180.7,166.9,223.8,132.4,159.6,217,105,177.3,200.6,108.3,105
"historical",1853,153.1,115.2,189.3,164.4,124.9,229.8,163.6,190,224.5,152.3,92.9,192.4,81.7,81.7
"historical",1854,209.4,285.6,140.4,241.6,160.3,171.4,128.1,158.4,257.3,123.8,135.5,208.6,80.3,80.3
"historical",1855,173.1,230.1,138.2,144,189.5,177.7,182.1,152.4,240.8,178.3,118.8,218.1,115.3,115.3
"historical",1856,225.8,154.4,194.6,159.9,193.6,211.6,148,209.9,205.3,129.9,133.4,190,110.2,110.2
"historical",1857,153.6,198,193.2,167.7,155.5,212.8,198.8,182.7,229.9,191.4,111.3,226.5,100,100
"historical",1858,187.3,232.9,136.6,187.3,212,273.1,128.9,235.1,211.3,165.9,70.8,186.6,90.5,70.8
"historical",1859,204,205.5,163.5,143.3,170.9,130.5,209,138.5,204.1,177.7,105.3,228.4,83.1,83.1
"historical",1860,187.1,128.6,146.5,131.6,205.7,200.8,199.6,213.9,219.7,132.6,159.7,254.2,106.1,106.1
"historical",1861,189.3,155.8,192,167.2,156.4,181.2,249.8,230.4,236.3,176.6,144.4,190.1,150.1,144.4
"historical",1862,148,150.7,233.1,166.4,215.4,186.4,224.3,183.4,250.4,176.1,91.4,202.8,97.9,91.4
"historical",1863,142.1,187.7,145.2,171.5,144.3,181.6,189.8,176.3,250.1,182.9,75.2,251.6,94.4,75.2
"historical",1864,166.2,206.5,197.9,198.6,146.2,194.2,195.6,216.1,204.8,153.3,147.8,234.4,124,124
"historical",1865,185.1,202.7,181.5,205.7,218.1,196.3,213.8,176.3,168.7,134.6,101.5,200.9,88.7,88.7
"historical",1866,230.1,178.5,139.9,222.7,174.5,267.3,82,182.9,237,183.5,156.6,149.5,87.1,82
"historical",1867,221.8,164.2,154.8,192.8,179,124.4,214.7,226,236.3,170.3,140.6,222.6,90.6,90.6
"historical",1868,184.6,221.5,108.3,226.5,102.3,200.9,256.2,179.3,259.2,187.6,117.8,186.8,82.4,82.4
"historical",1869,157.7,141.8,131.9,142.3,202.8,212.9,229.4,225.1,248.5,72.4,149.2,180.4,98.1,72.4
"historical",1870,165.8,141.3,129,119.9,153.1,242,267.1,223.6,171.1,167.1,156,129.3,67.6,67.6
"historical",1871,224.4,226,227.2,190.6,163.9,203.3,136.1,167.8,253.1,129.6,86.6,215,112.7,86.6
"historical",1872,192.9,156.3,188,143.9,145.4,170.9,216.8,186.5,252.7,184.6,117.6,187.6,103.5,103.5
"historical",1873,166,166,214,160.6,196.9,226.8,163,163,143.4,179.6,126,231.1,135.6,126
"historical",1874,229.6,228.7,162.8,118.2,146.7,177.3,179.7,150.2,221.3,132.5,116.2,184.1,111.3,111.3
"historical",1875,152.7,192.4,247.6,185.4,185.3,183.5,203.4,208.3,264.5,129.3,54.4,188.4,112,54.4
"historical",1876,150,164.7,202.2,181.9,174.9,248.1,185.4,119.1,189.9,115,120.6,145.4,105.4,105.4
"historical",1877,226.7,154.2,184.2,166.1,177.4,174.7,159.3,210.9,219.6,178,117.7,199.3,109.2,109.2
"historical",1878,227.7,190.8,168.1,145.3,205.9,239.7,206.5,222,262.5,177.4,135.4,174.4,139.2,135.4
"historical",1879,187.2,179,202.5,168.7,195.4,226.1,214.9,176.3,233.9,157.9,79.3,264.1,79.1,79.1
"historical",1880,182.8,223.2,216.2,119.3,166.8,180.5,194.2,173.4,186.3,141.8,129.5,191.3,77.4,77.4
"historical",1881,183.4,145.2,163.8,169.1,121.9,175,151.9,184.4,284.7,136.2,114.6,231.4,98,98
"historical",1882,168.1,115.9,197.9,205.5,173.1,205.1,192.7,119.4,218.8,167.6,146.9,209.2,122.2,115.9
"historical",1883,158.5,192.6,207,133.7,153.5,271.8,168.2,175.3,238.2,164.6,86.5,212.3,125.2,86.5
"historical",1884,148.1,243.1,205.8,183.8,147.6,169.6,199.7,151.5,241.7,114.1,104.1,231.7,147.8,104.1
"historical",1885,129.1,160.4,203.6,177.2,172.1,188,207.9,127,199.1,127,129.5,158.8,43.2,43.2
"historical",1886,160.8,193.2,192.9,143.7,184.7,221.5,253.3,131.3,219.8,161.1,145.1,201.6,99.4,99.4
"historical",1887,200.8,119.3,169.5,131.1,165.2,171.8,237.3,215.8,194.8,167.7,136.6,170.7,79.1,79.1
"historical",1888,191.8,219.4,187.1,158.6,203.3,293.6,233.4,194.9,216.5,135.3,111.4,195.8,109.1,109.1
"historical",1889,177.9,189.9,215,211,222.7,291.6,216.8,207.5,151.4,125.1,98,203.8,118.3,98
"historical",1890,157.2,116.4,178,158.5,183.5,236.4,259.1,171.3,212.2,191.5,144.1,231.6,100.3,100.3
"historical",1891,222.8,172.1,147.3,168.4,180.5,200.4,155.9,227.5,256.5,170.2,131.4,216.2,105.9,105.9
"historical",1892,186.2,144.3,177.9,124.8,149.6,145.7,202.2,153.5,210.3,162.9,139.2,198.4,122.2,122.2
"historical",1893,225.5,169.9,179.1,140.1,180,236.5,172.8,210.8,209.6,168.3,134,187.7,158.2,134
"historical",1894,163.8,227.9,221.7,189.6,186.6,229.6,192.1,99.3,224.5,201.3,139.9,214.1,64.6,64.6
"historical",1895,201.4,190.7,129.5,188.9,165.4,220.3,178.5,194.5,206.2,170,86,265.8,110.9,86
"historical",1896,203.8,149.5,157.2,159.4,148.6,143.7,241.3,214.1,271.5,159.2,98.6,199,127.7,98.6
"historical",1897,181.9,100.4,67.9,140.5,200.2,165.7,261.6,197.4,182.4,126.3,123.4,203.4,102.6,67.9
"historical",1898,165.6,92.7,235.1,124.1,161.3,258.4,240.4,191.5,175,112.6,161.4,149.6,101.4,92.7
"historical",1899,193.2,132.2,215.1,196.9,214,187.3,194.6,142.8,225.8,78.8,134.3,248,86.1,78.8
"historical",1900,191.2,148.8,161.7,170.2,196.9,218.1,203.9,210.8,244.2,117.1,102.6,218.7,90.5,90.5
