"scenario","Year","ACCESS.ESM1.5","BCC.CSM2.MR","CanESM5","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","INM.CM5.0","IPSL.CM6A.LR","MIROC6","MPI.ESM1.2.HR","MRI.ESM2.0","UKESM1.0.LL","ensemble"
"historical",1850,22.4,21.9,22.2,21.6,NA,21,22.2,21.7,21.2,26.5,22.8,22.6,22.5,21
"historical",1851,22.6,21.6,22.7,21.4,22.2,21,21.6,21.8,21.6,26.6,23.5,24.3,21.7,21
"historical",1852,22.8,22,22.8,21.7,21.1,21.9,22,21.2,21.2,26.9,22.7,23.5,22.3,21.1
"historical",1853,22.6,22.6,23.2,21.7,22.1,20.8,22.2,21.9,21.2,26.9,21.5,24,21.9,20.8
"historical",1854,22.6,22.2,22.5,21.5,21.8,21.7,22.5,22,20.9,27.2,22.4,23.1,22.6,20.9
"historical",1855,23.1,22.6,23.2,22.1,21.5,21.5,22.5,22.1,21.2,27,22.5,22.7,22.1,21.2
"historical",1856,22.2,22.8,23.1,21.3,21.8,21,22.7,21.8,21.1,26.8,22.2,23.1,22.1,21
"historical",1857,22.5,22.5,22.5,22.3,22.1,21.8,22.6,21.6,20.7,26.4,22.2,22.8,22.7,20.7
"historical",1858,22.1,21.8,22.9,21.5,21.6,21.3,21.7,21.4,21.4,27,22.2,23.5,22.3,21.3
"historical",1859,22.1,21.4,23.2,22.2,20.8,21.4,22.6,22.2,21.3,26.8,22.2,22.7,22.7,20.8
"historical",1860,22.6,21.5,23.1,21.5,20.9,21.4,21.2,21.8,20.9,26.3,22.5,22.6,22.8,20.9
"historical",1861,23,22.1,22.6,22.2,21.5,22,22.2,22.3,21.3,27.8,22.5,24,22,21.3
"historical",1862,22.5,22.2,22.2,22.5,21.6,21.6,22,21.5,20.8,26.3,22.1,22.8,22.4,20.8
"historical",1863,22.8,22.6,22.9,22,22.2,20.8,22.3,22.2,21.1,26.6,22.5,23.4,22.7,20.8
"historical",1864,22,21.6,22.8,22.1,22.5,21.3,21.7,22.2,20.8,25.6,22.5,22.6,22.5,20.8
"historical",1865,22.5,22.7,22.9,22.1,21.6,21.3,21.7,21.6,21.4,26.3,21.9,23.2,22.2,21.3
"historical",1866,22.5,21.9,23,20.9,22.2,22.4,22.3,21.7,20.8,25.8,21.6,22.9,22.5,20.8
"historical",1867,22.9,22.1,23.4,21.9,22.1,21.6,21.9,21.3,20.6,26.5,22,23.3,22,20.6
"historical",1868,22.5,21.8,23,21.8,21.5,22.1,22.6,22,21.3,26.7,22.4,23.3,22.4,21.3
