"scenario","Year","ACCESS.ESM1.5","BCC.CSM2.MR","CanESM5","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","INM.CM5.0","IPSL.CM6A.LR","MIROC6","MPI.ESM1.2.HR","MRI.ESM2.0","UKESM1.0.LL","ensemble"
"historical",1850,18.8,17.8,18.9,18.1,NA,17.1,17.6,17.9,17.3,21.9,18.6,18.9,18.3,17.1
"historical",1851,19.2,18.2,19.1,18.4,18,17.2,18.7,18.2,17.5,22.6,18.8,18.8,18,17.2
"historical",1852,19.1,17.7,18.4,17.7,18.3,17,18.5,18.3,17.7,22.3,18.6,19.3,18.4,17
"historical",1853,19.4,19,19.2,17.6,19,16.8,18.6,18.1,17.4,22.8,18.8,19.7,18.6,16.8
"historical",1854,19.3,17.8,18.6,17.6,17.9,17.8,19.2,18.3,17.6,22.8,18.4,19,18.6,17.6
"historical",1855,19.4,17.9,19,18.5,18.2,17.4,18.2,18.4,17.3,22.7,19,18.8,18,17.3
"historical",1856,19.2,18.8,19.2,17.9,18.3,16.7,18.3,18.1,17.7,22.7,19.2,19.3,18.7,16.7
"historical",1857,19.1,18.6,19.1,18.2,17.8,17.2,18.7,18.2,16.6,22.3,18.7,18.8,18.5,16.6
"historical",1858,19.3,18.8,18.9,17.5,17.8,17.7,18.4,17.8,17.7,22.8,19.1,19.5,18.1,17.5
"historical",1859,19.1,18,19.1,18.9,18.1,16.6,19,18,17.6,22.6,19.1,18.9,18.8,16.6
"historical",1860,19,18.2,18.9,18.2,18,16.9,18.2,17.6,16.8,21.5,18.8,18.6,18.7,16.8
"historical",1861,19.6,18.8,19.1,17.9,18,17.2,18.7,18.1,17.7,22.8,19,19.5,18.1,17.2
"historical",1862,19,18.4,18.9,18.2,17.5,17.4,17.6,17.8,16.9,22.1,18.8,20,18.5,16.9
"historical",1863,19.3,18.7,19.3,18.4,18.4,17.5,19.1,18.1,17.4,22.8,18.9,19.1,18.7,17.4
"historical",1864,18.7,17.4,19.1,17.7,18.2,17.2,18.4,18.4,17.5,22.8,18.8,18.2,18.7,17.2
"historical",1865,19.5,18.2,19.3,18,17.8,17.4,18.8,18.3,17.6,22.5,18.5,19.2,18.8,17.4
"historical",1866,19.3,18.2,18.7,17.9,18.4,17.2,19,17.8,17.2,22,18.6,19,18.8,17.2
"historical",1867,19.1,18.6,19,17.9,18.2,17.8,18.9,17.2,17.1,22.6,17.9,18.9,18.4,17.1
"historical",1868,19.1,18.6,18.7,18.2,17.8,17.6,18.3,17.9,17.8,22.7,18.9,19.1,18.6,17.6
"historical",1869,19,17.9,19,17.7,17.9,17.8,18,17.8,17.3,22.7,18.7,19.6,18.3,17.3
"historical",1870,18.7,18.7,19.3,17.7,18,17.4,18.7,17.5,17.3,21.9,18.1,18.8,18,17.3
"historical",1871,19,17.7,19,18,18.1,17.2,18.4,17.9,17.4,23.1,18.5,19.6,18.2,17.2
"historical",1872,19.2,19,18.5,18.2,18.6,16.9,18.3,17.6,17.6,22.7,18.5,19.3,18.5,16.9
"historical",1873,19.7,18,18.8,17.9,18.1,17.4,19.1,17.9,17.5,21.9,18.9,19.8,18.4,17.4
"historical",1874,19,18.2,19.1,18.2,18.2,17.2,18.9,17.2,17.9,22.4,18.8,19.3,18.6,17.2
"historical",1875,19.2,18.7,19.2,17.9,18,16.7,18.2,18.4,17.5,22.9,19,19.1,18.6,16.7
"historical",1876,18.9,19.4,18.9,17.7,18.3,16.6,18,18.1,17.5,22.6,18.7,18.6,18.5,16.6
