"scenario","Year","ACCESS.ESM1.5","BCC.CSM2.MR","CanESM5","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","INM.CM5.0","IPSL.CM6A.LR","MIROC6","MPI.ESM1.2.HR","MRI.ESM2.0","UKESM1.0.LL","ensemble"
"historical",1850,30.1,22.8,18.4,23.4,NA,31.9,32.1,24,26.3,28.9,23.1,22.3,21.9,18.4
"historical",1851,20.7,29.4,21.1,23,23.9,19.2,29.6,28.5,25.1,27.3,21.9,25.1,21.9,19.2
"historical",1852,30.8,26.9,20.4,26.3,23.1,34.7,28.8,26.9,23.7,26.7,24.4,30.2,20.6,20.4
"historical",1853,32.4,25.9,27.4,19.5,20.5,39,34.7,24.7,23,23.8,30.2,27.4,22,19.5
"historical",1854,26.5,27.8,19.1,22.3,24.2,31.8,32.5,23.5,17.4,26,26.4,32,17.5,17.4
"historical",1855,27.7,24.7,20.5,30.2,24.8,24.4,30,26.1,25.9,20.9,24.7,26.1,26.5,20.5
"historical",1856,30.1,31.3,23.4,25.7,24.5,33.4,27.9,27.9,22.1,25.3,30.6,22.5,25.1,22.1
"historical",1857,27.9,30.8,23,21.2,26.7,29,27.8,22.1,26.1,25.2,25.5,25.3,21.9,21.2
"historical",1858,25.4,32.4,24.8,24.4,22.6,32.2,33.9,34.7,23.3,27.5,27.4,24.4,21.2,21.2
"historical",1859,28.4,32.1,22.5,21.2,15.5,30.9,44.5,29.5,23.8,30.5,24.9,29,24.6,15.5
"historical",1860,30.3,33.1,20.5,25.3,24.8,33,31.9,28.4,23.9,24.8,24.5,30.3,23.5,20.5
"historical",1861,26.1,27.4,20.1,28,26.1,30.2,24.7,31.1,31.3,28.5,29.5,27.8,20.8,20.1
"historical",1862,26.8,26.2,23.8,25.4,19.8,32.2,25.2,27.5,18.2,20.3,27.7,30.2,19.3,18.2
"historical",1863,27.9,30.5,23.8,27,20.9,31.4,26.9,29.1,22.6,26.4,27.8,28.3,22.1,20.9
"historical",1864,25.7,30.5,23.9,25.3,23.3,34.1,28.9,25.4,27.7,28.9,23.4,28.7,22.2,22.2
"historical",1865,25.8,27.8,19.4,25.8,25,34.7,29.8,31.6,21.6,27,28.8,28.8,15.6,15.6
"historical",1866,25,26.1,24.5,24,17.5,32.7,34.9,25,23.6,26.9,24.6,20.2,21.7,17.5
"historical",1867,27.6,29.5,20.1,27,25.1,34.9,28.5,30.7,23.2,25.9,26.1,26.8,26.7,20.1
"historical",1868,23.2,28.3,24.9,26.1,27.2,29.7,23.8,26.2,22.6,25.9,19.8,30.5,21.4,19.8
"historical",1869,21.1,25.6,19.2,21.4,20.8,35.4,27.2,33.1,22.2,27.5,29.4,24.4,21.4,19.2
"historical",1870,26.8,36.4,22.7,30.1,20.8,30,31.2,24.5,19.8,24.9,28.5,33.2,22,19.8
"historical",1871,26.2,28,21.3,25.7,20.9,30.3,32.8,31.3,23.5,23.3,24,27.5,18.2,18.2
"historical",1872,28.4,24.7,23,27.6,22.2,30.8,24.9,22.8,22.5,27.3,27.8,21.5,23.8,21.5
"historical",1873,26.5,31.2,22.7,26.9,23.5,35.2,37,26.5,22.7,29.9,24.1,28.5,20.8,20.8
"historical",1874,28.6,28.1,19.2,25.2,22.5,37,30.4,29.6,28.2,26.1,26.2,24.2,17.3,17.3
"historical",1875,24.1,25.5,17.8,20.6,29.5,34.7,24.6,28.7,25.8,24.3,28.8,21.7,22.4,17.8
"historical",1876,28.4,29.4,23.2,25.9,23.8,35.1,29.9,28.9,25,28.6,25.1,24.3,19.2,19.2
"historical",1877,23.3,27.2,26.1,25.5,24.8,29,32.1,30.9,18.4,29.2,26.3,24.4,22.6,18.4
"historical",1878,26.7,32.7,22.9,24.8,18.6,28.4,34.3,27.3,25.3,21.2,26.6,25.2,24.1,18.6
"historical",1879,24.5,24.4,22.1,26.7,20.2,26.5,32.1,33.4,28.1,24.3,23.1,25.4,24.2,20.2
"historical",1880,22.9,29,25.6,31,18.8,31.7,26.1,26.1,20.5,25.8,26.1,25.6,24,18.8
"historical",1881,26.9,23.6,22.6,29.9,23.6,33.3,30.9,28.5,26.5,30.8,29.3,26,15.4,15.4
"historical",1882,26.6,31.6,24.9,34.3,23.5,33.6,27.7,26.2,25.6,20.1,27.9,27.5,17.5,17.5
"historical",1883,29.2,25.9,19.7,27.8,24.5,27.3,30,23.4,22.7,28.7,31.9,28,18.7,18.7
"historical",1884,20.7,27.4,22.1,21.8,19.8,32.3,26.6,30.9,21.8,28.6,24.8,22.7,20.1,19.8
