"scenario","Year","ACCESS.ESM1.5","BCC.CSM2.MR","CanESM5","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","INM.CM5.0","IPSL.CM6A.LR","MIROC6","MPI.ESM1.2.HR","MRI.ESM2.0","UKESM1.0.LL","ensemble"
"historical",1850,48.5,19.4,18.5,35.7,NA,53.6,18.3,40.9,48.7,31,21.5,78.6,18.1,18.1
"historical",1851,37.1,26.2,24.5,31.5,36.4,57.1,25.5,48,74.3,29.8,22.1,76.4,31.9,22.1
"historical",1852,30.2,38.5,31.4,39.1,44.3,61,8.6,48.6,60.9,26.7,24,77.2,37.8,8.6
"historical",1853,35.9,9.7,26.4,31.6,25.3,66.1,16.4,54.8,63.8,25.2,26.1,51.9,45.9,9.7
"historical",1854,46.7,25.4,22.6,42.9,28.7,60.6,21.2,55,61.3,23.1,22.4,65.5,38.6,21.2
"historical",1855,40,35.3,17.1,32.1,43.2,42.2,12,58.8,62.2,20.5,24.2,52.4,44.1,12
"historical",1856,31.9,25.7,16.6,35.7,44.5,43,15.5,60.6,64.4,32.2,13.3,60.5,41.1,13.3
"historical",1857,32.8,42.3,26.7,29.9,39.5,50.1,29.3,46.4,76.6,37,39.7,63.9,44.2,26.7
"historical",1858,29.7,12.9,18.8,50.9,33.9,32,16.4,40.9,58.2,36,32.8,74.8,38.6,12.9
"historical",1859,47.1,22.4,23.6,32.5,19.4,69.4,14.2,55.3,76.9,28.6,34.3,74.7,37.6,14.2
"historical",1860,47.5,31.6,20.6,58.3,40.8,47.4,16.9,58,91.4,28.1,18.3,61.1,32.2,16.9
"historical",1861,43.2,36.7,20.5,16,56.3,46.4,22.2,25.3,61.3,24.3,31.6,61.2,41.4,16
"historical",1862,50.6,23.8,22.6,28.8,29.2,59.5,12,52.7,57.9,25.4,19.5,69.5,25.2,12
"historical",1863,40.4,23.8,22.9,50,40.4,59.4,23.4,56.3,85.2,29.2,32.1,60.5,41.4,22.9
"historical",1864,39.4,43.9,13.8,54,36.8,39.7,12.1,40.8,74.2,22.3,26.8,65.1,40.9,12.1
"historical",1865,24.3,31.6,32.5,36.6,32.7,48.9,23,55.5,70.6,26.7,11.2,85.1,32.1,11.2
"historical",1866,38.2,25.5,28.4,38,31,65.9,27.3,41.3,81.3,31.6,37.5,68,42.6,25.5
"historical",1867,30.5,22.2,17.5,44.5,36.2,51.8,8.5,41.4,55.7,28.3,33.2,66.1,32.2,8.5
"historical",1868,32.6,25.5,17.6,53.8,36.1,37.4,34.1,48.1,64.1,25.1,20,78.1,48.7,17.6
"historical",1869,32.1,26.1,25.4,45.8,32.5,38.3,27.3,46.7,83.1,33.4,15.4,50,38.2,15.4
"historical",1870,44.7,17.4,25.9,41.6,42.2,48.6,24.3,45.4,69.5,35.4,29.5,74.2,28.5,17.4
"historical",1871,43.5,31.9,19.3,48,33.1,42.9,19.7,54.1,55.3,30.4,19.7,61.1,29.4,19.3
"historical",1872,44,40.9,26.1,64.2,37.8,50.7,27.9,63.6,79.2,35.5,25.3,63.7,46.3,25.3
"historical",1873,30.2,28.3,27,48,52.2,53.1,24.3,52.6,81,28.3,18.2,81.2,41.1,18.2
"historical",1874,42.8,35,13,17.2,26.2,32.6,23.2,47.3,72.4,32.9,25,71.6,38.5,13
"historical",1875,47.2,41,20.7,40.3,38.2,34.7,20.5,42.2,50,35.4,22.1,59.2,35.3,20.5
"historical",1876,44.4,37.2,34,39.7,38.7,35.2,21.9,48.4,54,29,37.5,58.5,40.2,21.9
"historical",1877,42.7,33,22.5,52.5,45.5,53.6,17.6,35.8,69,32.4,24.2,64,34.1,17.6
"historical",1878,37.7,33.4,28.4,39.8,28.9,55.3,30.7,59.7,59.4,36.3,24.9,56.2,30.4,24.9
"historical",1879,34.4,29,24.3,44.8,46.2,60.5,28,52.9,67.2,35.1,28.1,58.2,37.5,24.3
"historical",1880,32.9,25.3,23.7,38.4,31.2,52,17.3,56.2,69.3,24.2,31.3,71.6,35.6,17.3
"historical",1881,30.6,31.2,21.6,39.3,37.1,58,22.5,48.5,61.5,27.2,41.1,66.7,29.9,21.6
"historical",1882,43.4,19.1,18.6,50.8,36.6,47.8,29,49.7,60.4,29.8,30.6,75.9,30.9,18.6
"historical",1883,26.4,25.7,21.9,40.3,27,49.7,15.3,43.4,73.3,38.1,14,65.7,43.1,14
"historical",1884,35.8,28.3,37.1,45.9,41.7,54.9,13.3,57.1,70.4,34.9,28.4,86.3,42.1,13.3
"historical",1885,29.6,21.1,28.9,39.8,38.3,55.3,16,41.8,71.8,36.1,36,71.9,40.3,16
"historical",1886,40.2,22.8,20.2,35.2,34.9,40.4,18.6,52,65.9,27,29.1,69.8,34.1,18.6
"historical",1887,35.4,23.4,29.6,32.2,45.3,49,13.9,55.8,56.2,33.7,19.2,74.1,20.8,13.9
"historical",1888,36.6,34.6,24.4,49.9,38.9,36.7,14.8,54.4,80,31.5,31,70.3,37.6,14.8
"historical",1889,36,16.3,12.5,30.2,34.4,55.8,20.2,52.1,70.9,26.8,32.9,76.6,34.4,12.5
"historical",1890,35.4,32.6,26,48.1,44.8,61.2,25.5,50.8,65.3,34.4,19.6,54.4,43.1,19.6
"historical",1891,39.5,30.4,25,50,36.3,43.4,22.1,49,74.7,30.2,20.3,70,36.8,20.3
"historical",1892,44.7,30.4,21.1,39.4,45.3,52.5,16.8,58.5,76,27.9,24.9,68.9,45,16.8
"historical",1893,41.7,38.5,26.3,42.1,48.4,46.8,29.9,52.5,65.1,37.6,24,62.3,30.8,24
"historical",1894,39.6,22.3,23.6,48.6,39,30.5,24,51.2,76,38.7,29.1,63.2,34.4,22.3
"historical",1895,42.1,28.1,23.4,51.3,39.4,59.3,20.1,45.4,78.5,32.5,20.3,82.3,46.4,20.1
"historical",1896,37.7,28.4,17.9,37.1,38,61.1,16,57.1,44.2,34.8,34.4,70.8,49.8,16
"historical",1897,31.1,21.5,19.4,47.6,44.1,52.3,17.6,56.1,67.5,37.1,26.1,77.6,36.9,17.6
"historical",1898,35.7,22.1,24.3,42.3,41.3,72.7,22.3,41.5,72.6,37.8,23.8,58.6,28.2,22.1
"historical",1899,34,25.9,23,44,40.4,34.4,16,49.9,50.2,39.7,34.9,59.5,35.9,16
