"scenario","Year","ACCESS.ESM1.5","BCC.CSM2.MR","CanESM5","CNRM.ESM2.1","EC.Earth3","GFDL.ESM4","GISS.E2.1.G","INM.CM5.0","IPSL.CM6A.LR","MIROC6","MPI.ESM1.2.HR","MRI.ESM2.0","UKESM1.0.LL","ensemble"
"historical",1850,21.6,20,20.6,19.3,NA,19,21.6,23,17.7,25,20.4,18.6,20.8,17.7
"historical",1851,22.5,19.2,18.9,19.1,22.2,19.6,21,23,16.8,26.7,22.1,18.7,19.8,16.8
"historical",1852,21.5,20.7,19.2,20.9,21.4,19,21.1,24,16.4,26.5,20.5,19.7,20.3,16.4
"historical",1853,20.8,20.4,20.9,18.7,21.4,21.8,20.5,22.5,17.9,26.7,22.1,19.7,22.1,17.9
"historical",1854,20.4,18.4,20.1,20.3,21.7,21.5,19.5,21.5,16.9,25.8,21.2,19.2,22.9,16.9
"historical",1855,23.1,17.5,19.2,20.8,18.5,20.5,19.8,23.3,17.3,26.9,20.1,17.6,22,17.3
"historical",1856,23,20.3,21.6,20,21.3,20.7,20.4,23.5,17.2,26.2,20.4,20.1,21.5,17.2
"historical",1857,23,18.7,19.9,20.3,20.2,20,18.8,22.7,16.6,26.4,19.8,18.3,20.6,16.6
"historical",1858,20.4,20.9,21.4,20.3,21,19.5,21,21.8,15.4,26.8,20.6,19.5,21.6,15.4
"historical",1859,21,20,21.3,20.2,21.5,18.8,21.7,22.6,17.3,25.2,21.9,20.5,22,17.3
"historical",1860,23,20.3,19.7,21.1,22.4,20.6,20.8,21.4,17,26.9,21,20.2,21.5,17
"historical",1861,21.5,19.7,20,21.3,22.4,22.3,21.2,23.5,16.6,24.7,19.1,21.1,20.4,16.6
"historical",1862,23.6,19.9,19.9,18.1,20,21,21.4,23.7,17,25.7,19.6,19,22.6,17
"historical",1863,23.1,19.2,19.4,19.3,23.5,22.5,19.6,22.8,17.5,26.8,21.9,18.9,22,17.5
"historical",1864,22.3,21.5,20.7,18.7,22.5,22.4,20.4,23.6,17.9,26.4,19.3,20,20.4,17.9
"historical",1865,22.8,22.1,20.6,20.7,22.9,18.9,20,23.5,16.9,26.1,20.6,18.5,21.1,16.9
"historical",1866,22.9,21.4,20.7,19.8,22.2,20.3,20.6,21.8,16.3,27,20.4,19,22,16.3
"historical",1867,22.4,17.1,21.7,21,20.9,20.2,19.6,21.3,16.4,27,20.4,19.1,21.4,16.4
"historical",1868,21,19.4,21.8,20.4,21.8,20.2,21,21.6,17.4,26.3,21.4,20.7,21.7,17.4
"historical",1869,22.4,18,20.2,19,21.2,19.8,20.2,23.4,17.3,26,20.8,21.3,21.8,17.3
"historical",1870,21.6,20.9,19.7,21.1,21,22.8,20.2,22.7,15.5,26,20.6,18.7,19.2,15.5
"historical",1871,20.9,17.2,21.9,21.3,20.9,22.1,18.8,21.9,17.5,26.1,19.7,19.9,21,17.2
"historical",1872,20,21.7,19.6,20.1,22.9,20.4,21.8,21.5,17.2,26,21.2,17.4,21.3,17.2
"historical",1873,22.4,20.8,19.1,20.8,21.4,21.2,20.9,23.1,16.7,26,22.3,19.7,22.2,16.7
"historical",1874,21.5,20.4,21.3,20,22.9,20,19.2,23.6,16.5,26.8,21.7,19.2,22.6,16.5
"historical",1875,21,23.6,21.4,20.5,22.1,20.4,19.9,22,15.6,26.8,21.2,17.5,21,15.6
"historical",1876,20.9,18.1,21,19.3,20.7,20.2,21,24.5,17.6,25.5,21.2,17.4,22.3,17.4
"historical",1877,23,21.8,19.8,20.4,23,22.7,18.8,23.4,17.2,26.5,19.7,21.2,19.7,17.2
"historical",1878,21,22.2,20.1,19.7,23.5,19.5,21.2,23.4,16.9,25.6,21.6,18.4,21.2,16.9
"historical",1879,22.1,20.6,21,21.2,22.6,20.3,20.4,24.4,15.5,26.1,21.3,18.9,21.6,15.5
"historical",1880,21.4,20.4,20.3,20,22.8,21.7,19.2,22,17.5,25.9,19.2,19.6,21,17.5
"historical",1881,21.1,20.6,20.6,19.3,21.3,20.1,20.4,22.2,17.9,26.6,21,19.1,22.4,17.9
"historical",1882,22.1,20.2,21.2,19.9,24.4,20.6,20.5,23.2,15.5,26.6,20.2,20.1,20.3,15.5
"historical",1883,21.2,18.9,20.1,18.7,21.3,20,19.8,21.4,17.3,26.8,21.1,18.2,20.9,17.3
"historical",1884,20.8,16.5,19.8,20.1,20,19,18.4,22.5,14.5,24.9,19.5,16,21.8,14.5
"historical",1885,22.9,20.2,19.3,20.8,21.1,21.7,20.4,19.4,15.3,25.8,19,20.3,21.1,15.3
"historical",1886,21.4,20,19.7,20.6,21.8,19.6,20.2,21.8,16.5,25.9,20,20.3,20.7,16.5
"historical",1887,21.7,18.1,19.6,20.6,22.7,20.6,18.5,23.3,17.6,25.9,19.4,20.3,21.9,17.6
"historical",1888,19.8,20.6,20.6,20.6,21.8,21.3,22.5,22.5,16.3,26.8,20.5,17.7,20.5,16.3
"historical",1889,20.7,21.5,19.3,21.1,23.5,20.5,20.6,21.7,17.3,26.4,20.9,20,22.1,17.3
"historical",1890,22.2,22.3,20.9,19.2,22,19.9,20.3,20.6,17.8,25.7,18.2,17.8,19.1,17.8
"historical",1891,22,17.4,20.7,21.4,19,18.1,20.9,22.6,16.8,23.4,20.4,18.9,21.2,16.8
"historical",1892,20.3,19.7,21.3,20.7,20.1,20.4,20.7,21.4,17.7,26.5,20.8,18.9,20.4,17.7
"historical",1893,21.4,19.5,20.9,20.5,21.4,19.3,20.8,22.5,17.4,26.3,19.7,19.4,20.7,17.4
"historical",1894,21.2,19.2,20.3,20,19.9,21.7,20.7,23.3,16.4,26.5,20,19.5,21.9,16.4
"historical",1895,21.3,21.8,21.2,20.3,19.4,20.2,20.3,22,16.3,26.4,20,17.9,22.5,16.3
